=== reconcile_pia (today=2026-09-26) 対象1061件 ===

✅ id=23925 Metroflex Gym presents A | 登録0=ぴあ0 一致 ／ ぴあ外7枠は対象外
💤 id=24103 Setouchi Contemporary 2026 -MU | 登録4枠 / ぴあ買える2枠
    💤STALE 登録「一般発売【2日通し】（岡山 10/24〜10/25公演）9/26 10:00発売」(2026-09-26) がぴあの買える枠に無い
    💤STALE 登録「一般発売【1日】（岡山 10/24〜10/25公演）9/26 10:00発売」(2026-09-26) がぴあの買える枠に無い
✅ id=24104 第6回 全国高校 軽音楽部大会 we are S | 登録1=ぴあ1 一致
✅ id=24105 曾我泰久 | 登録1=ぴあ1 一致
✅ id=24106 SALT&SUGAR（Pf.塩谷哲&Vo.佐藤竹 | 登録1=ぴあ1 一致
✅ id=24107 月詠み | 登録1=ぴあ1 一致
✅ id=24108 紬衣／サクラ／ハキイ。 | 登録1=ぴあ1 一致
✅ id=24109 Tyrkouaz | 登録3=ぴあ3 一致
✅ id=24110 TENDOUJI | 登録2=ぴあ2 一致
✅ id=24111 天童よしみ | 登録1=ぴあ1 一致
✅ id=24112 TOTALFAT／MAYSON’s PARTY | 登録1=ぴあ1 一致
✅ id=24113 D’LIVE vol.21 KoyamaDriv | 登録1=ぴあ1 一致
✅ id=24114 「ドラゴンクエスト」ウインドオーケストラコンサー | 登録2=ぴあ2 一致
✅ id=24115 NakamuraEmi | 登録4=ぴあ4 一致
✅ id=24116 BugLug | 登録1=ぴあ1 一致
✅ id=24117 馬場俊英 | 登録1=ぴあ1 一致
✅ id=24118 バンドじゃないもん!MAXX NAKAYOSHI | 登録1=ぴあ1 一致
✅ id=24119 バンドじゃないもん!MAXX NAKAYOSHI | 登録1=ぴあ1 一致
✅ id=24120 バンドじゃないもん!MAXX NAKAYOSHI | 登録1=ぴあ1 一致
✅ id=24121 バンドじゃないもん!MAXX NAKAYOSHI | 登録1=ぴあ1 一致
✅ id=24122 氷川きよし | 登録1=ぴあ1 一致
✅ id=24123 BIGMAMA | 登録1=ぴあ1 一致
✅ id=24124 フラワーカンパニーズ | 登録1=ぴあ1 一致
✅ id=24125 フラワーカンパニーズ | 登録1=ぴあ1 一致
✅ id=24126 堀内孝雄 | 登録1=ぴあ1 一致
✅ id=24127 ポルカドットスティングレイ | 登録1=ぴあ1 一致
✅ id=24128 「MASKED BEYOND vol.1」 | 登録1=ぴあ1 一致
✅ id=24129 松本圭司 | 登録1=ぴあ1 一致
✅ id=24130 美波 | 登録1=ぴあ1 一致
✅ id=24131 Meet the Symphonic | 登録2=ぴあ2 一致
✅ id=24132 ミーマイナー | 登録1=ぴあ1 一致
✅ id=24133 ミーマイナー | 登録1=ぴあ1 一致
✅ id=24135 モナキ | 登録0=ぴあ0 一致 ／ 売り切れ1枠は対象外
✅ id=24136 レキシ | 登録0=ぴあ0 一致 ／ 売り切れ1枠は対象外
✅ id=24137 レキシ | 登録0=ぴあ0 一致 ／ 売り切れ1枠は対象外
✅ id=24138 レキシ | 登録0=ぴあ0 一致 ／ 売り切れ2枠は対象外
✅ id=24139 ROTH BART BARON | 登録5=ぴあ5 一致
✅ id=24140 LOLOET | 登録1=ぴあ1 一致
✅ id=24141 若旦那／新羅慎二 | 登録2=ぴあ2 一致
✅ id=24142 和楽団ジャパンマーベラス | 登録1=ぴあ1 一致
✅ id=24143 @onefive | 登録1=ぴあ1 一致
✅ id=24144 アンと私 | 登録1=ぴあ1 一致
✅ id=24145 OKAMOTO’S | 登録1=ぴあ1 一致
✅ id=24146 みやけん with Friends X’mas  | 登録1=ぴあ1 一致
✅ id=24147 池袋演芸寄席 | 登録1=ぴあ1 一致
✅ id=24148 市川猿四郎☆スーパー講座「歌舞伎のいろは」浜松 | 登録1=ぴあ1 一致
✅ id=24149 いぬやま寄席 | 登録2=ぴあ2 一致
✅ id=24150 エバース倶楽部 | 登録1=ぴあ1 一致
✅ id=24151 桂文珍独演会2027 | 登録1=ぴあ1 一致
✅ id=24152 ガクテンソク×例えば炎ツーマンライブ『宝塚ボーイ | 登録1=ぴあ1 一致
✅ id=24153 芸歴三十五周年特別公演 古今亭菊之丞独演会 | 登録1=ぴあ1 一致
✅ id=24154 劇場版、ヤストキのゲームパーク ～ラヴへの大予選 | 登録1=ぴあ1 一致
✅ id=24155 劇団扉座『歓喜の歌』海老名公演 | 登録1=ぴあ1 一致
✅ id=24156 宰務翔太単独ライブ「Opener」 | 登録3=ぴあ3 一致
✅ id=24157 春風亭小朝独演会 | 登録2=ぴあ2 一致
✅ id=24158 新春吉本お笑いバラエティーショー2027 | 登録2=ぴあ2 一致
✅ id=24159 J亭スピンオフ企画45 白酒・三三 大手町二人会 | 登録1=ぴあ1 一致
✅ id=24160 次代育成落語会 | 登録1=ぴあ1 一致
✅ id=24161 【当日引換券】談春塾 2026 <9月公演> | 登録1=ぴあ1 一致
✅ id=24162 ニューイヤー・ミュージカル・コンサート 2027 | 登録3=ぴあ3 一致
✅ id=24163 BSよしもとpresents「吉本新喜劇」 | 登録1=ぴあ1 一致
✅ id=24164 ふくおか「万作の会」 四十周年記念公演 | 登録1=ぴあ1 一致
✅ id=24165 ベタバース劇場in心斎橋角座 | 登録1=ぴあ1 一致
✅ id=24166 無双!! ものまねLIVE2027 | 登録1=ぴあ1 一致
✅ id=24167 よしもとお笑いライブin前橋2026 | 登録1=ぴあ1 一致
✅ id=24168 朗読劇『綴結』 | 登録1=ぴあ1 一致
✅ id=24169 ロングコートダディ和尚のゲーム法事 | 登録1=ぴあ1 一致
✅ id=24170 WAHAHA本舗PRESENTS ワハハ本舗特別 | 登録1=ぴあ1 一致
✅ id=24171 マセキ芸人コレクション～2026秋冬～ | 登録1=ぴあ1 一致
✅ id=24172 ミュージカル『イザボー』 | 登録1=ぴあ1 一致
✅ id=24175 ガンバ大阪対セレッソ大阪 VIPルーム【ホスピタ | 登録1=ぴあ1 一致
✅ id=24176 【車椅子席】阪神タイガース対広島東洋カープ 公式 | 登録1=ぴあ1 一致
✅ id=24177 大日本プロレス | 登録1=ぴあ1 一致
✅ id=24178 大樹生命 Wリーグ 2026-27 レギュラーシ | 登録2=ぴあ2 一致
✅ id=24179 大樹生命 Wリーグ 2026-27 レギュラーシ | 登録2=ぴあ2 一致
✅ id=24180 大樹生命 Wリーグ 2026-27 レギュラーシ | 登録2=ぴあ2 一致
✅ id=24181 大樹生命 Wリーグ 2026-27 レギュラーシ | 登録2=ぴあ2 一致
✅ id=24182 東京女子プロレス | 登録1=ぴあ1 一致
✅ id=24183 東京女子プロレス | 登録1=ぴあ1 一致
✅ id=24185 日本赤十字社 災害義援金チャリティー 第58回オ | 登録1=ぴあ1 一致
✅ id=24186 阪神タイガース対広島東洋カープ 公式戦 | 登録4=ぴあ4 一致
✅ id=24187 阪神タイガース対広島東洋カープ 公式戦 DTSボ | 登録1=ぴあ1 一致
✅ id=24188 阪神タイガース対広島東洋カープ 公式戦 「ドコモ | 登録1=ぴあ1 一致
✅ id=24189 阪神タイガース対広島東洋カープ 公式戦 三ツ矢サ | 登録1=ぴあ1 一致
✅ id=24190 You will be the Champion | 登録1=ぴあ1 一致
✅ id=24191 令和8年 冬巡業 大相撲交野場所 | 登録2=ぴあ2 一致
✅ id=24192 第95回全日本フィギュアスケート選手権大会 | 登録6=ぴあ6 一致
✅ id=24193 『COWBOY BEBOP天国の扉』4K REM | 登録4=ぴあ4 一致
✅ id=24194 【HYBE CINE FEST2026】 ムビチ | 登録1=ぴあ1 一致
✅ id=24195 BERITA presents ISOGAI花火 | 登録2=ぴあ2 一致
✅ id=24196 しまじろうコンサート しまじろうとおかしのくにの | 登録1=ぴあ1 一致
✅ id=24198 ナジャ・グランディーバとお洒落な仲間たち XMA | 登録1=ぴあ1 一致
✅ id=24199 マジカルおじさんの冬休みマジック教室&SHOW2 | 登録1=ぴあ1 一致
✅ id=24200 オールジャパン メダリスト・オン・アイス 202 | 登録2=ぴあ2 一致
✅ id=24201 イアン・ボストリッジ&ジュリアス・ドレイク 第1 | 登録1=ぴあ1 一致
✅ id=24202 イアン・ボストリッジ&ジュリアス・ドレイク 第2 | 登録1=ぴあ1 一致
💤 id=24203 イヴァン・フィッシャー 指揮 ブダペスト祝祭管弦楽団／ブルー | 登録1枠 / ぴあ買える0枠
    ❌FETCH ぴあが混雑ページに飛ばした（券種は読めていない）: http://sorry.pia.jp/nt2/pia/?mark= | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2671306
    💤STALE 登録「一般発売（神奈川 R9年 2/21公演）〜2/21 14:00」(2027-02-21) がぴあの買える枠に無い
✅ id=24204 第5回「美しき日本のうた」 ～日本が洋楽を入れて | 登録1=ぴあ1 一致
✅ id=24205 河村尚子プロデュース「1・3・5」 ～ソロ、トリ | 登録3=ぴあ3 一致
✅ id=24206 クリスマス・オルガンコンサート | 登録1=ぴあ1 一致
✅ id=24207 3大ピアノ協奏曲 | 登録1=ぴあ1 一致
✅ id=24208 三大ピアノ協奏曲の響宴 | 登録1=ぴあ1 一致
✅ id=24209 3大ヴァイオリン協奏曲 | 登録1=ぴあ1 一致
✅ id=24210 進藤実優（p） | 登録1=ぴあ1 一致
✅ id=24211 スピリット・オブ・ジョージア | 登録2=ぴあ2 一致
✅ id=24212 仙台フィルハーモニー管弦楽団 | 登録1=ぴあ1 一致
✅ id=24213 Solistiade Special -映像・ト | 登録2=ぴあ2 一致
✅ id=24215 日本フィルハーモニー交響楽団 松戸特別演奏会 | 登録1=ぴあ1 一致
✅ id=24216 パシフィックフィルハーモニア東京 ニューイヤーコ | 登録1=ぴあ1 一致
✅ id=24217 フィルハーモニー・シリーズ オーケストラ・アンサ | 登録1=ぴあ1 一致
✅ id=24218 福岡ジュニアオーケストラ 第7回定期演奏会 | 登録1=ぴあ1 一致
✅ id=24219 第10回福岡ジルベスターコンサート2026 | 登録1=ぴあ1 一致
✅ id=24220 宮田大（vc）&福間洸太朗（p） | 登録1=ぴあ1 一致
✅ id=24221 守山市民ホール開館40周年記念公演 びわ湖ホール | 登録1=ぴあ1 一致

=== 集計: OK 133 / 🚨MISSING 3 / ⚠️DROP 0 / 💤STALE 3 / ❌FETCH 1 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 103/194 / 未照合 skip91(同締切の枠が複数で対を確定できない) ===
=== ぴあ外の売り場を明示した枠 14件は対象外（このゲートでは見ていない＝別途要確認） ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
→ 🚨/⚠️ は取りこぼし。該当エントリをぴあ機械パースで枠追加して修正すること。
