=== reconcile_pia (today=2026-08-28) 対象61件 ===

✅ id=5595 マザリ | 登録2=ぴあ2 一致
    ❌FETCH ぴあが混雑ページに飛ばした（券種は読めていない）: http://sorry.pia.jp/nt2/pia/?mark= | https://t.pia.jp/pia/event/event.do?eventCd=2634473
    💤STALE 登録「一般発売（愛媛 10/3公演）9/19 10:00発売」(2026-09-19) がぴあの買える枠に無い
✅ id=5648 THE MATSURI SESSION | 登録1=ぴあ1 一致
✅ id=5649 NHK交響楽団 | 登録1=ぴあ1 一致
✅ id=5650 新日本フィルハーモニー交響楽団 #45 すみだク | 登録4=ぴあ4 一致
✅ id=5651 新日本フィルハーモニー交響楽団 第674回定期演 | 登録2=ぴあ2 一致
✅ id=5652 新日本フィルハーモニー交響楽団 第675回定期演 | 登録2=ぴあ2 一致
✅ id=5653 2027 都民音楽フェスティバル 新日本フィルハ | 登録1=ぴあ1 一致
✅ id=5654 2027 都民音楽フェスティバル 東京交響楽団 | 登録1=ぴあ1 一致
✅ id=5655 2027 都民音楽フェスティバル 日本フィルハー | 登録1=ぴあ1 一致

=== 集計: OK 58 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 2 / ❌FETCH 2 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 69/85 / 未照合 skip16(同締切の枠が複数で対を確定できない) ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
