=== reconcile_pia (today=2026-09-02) 対象103件 ===

✅ id=6070 一路真輝 クリスマススペシャル2026 with | 登録1=ぴあ1 一致
✅ id=6161 高槻フィルハーモニーオーケストラ 第20回定期演 | 登録1=ぴあ1 一致
✅ id=6162 第5回おしゃべりコンサート | 登録1=ぴあ1 一致
✅ id=6163 第28回全日本高等学校吹奏楽大会in横浜 | 登録1=ぴあ1 一致
✅ id=6164 第44回 相模原市民合同演奏会 | 登録2=ぴあ2 一致
✅ id=6165 トリオ・リベルタ・バレンタインコンサート | 登録1=ぴあ1 一致
✅ id=6166 習志野市立習志野高等学校吹奏楽部 第64回定期演 | 登録1=ぴあ1 一致
✅ id=6167 ハママツの第九 演奏会 | 登録1=ぴあ1 一致
✅ id=6168 100人の奏者によるヘンデル「水上の音楽」「王宮 | 登録2=ぴあ2 一致
✅ id=6169 ブリヂストン吹奏楽団久留米 下関チャリティーコン | 登録1=ぴあ1 一致
✅ id=6170 ヘンデル「メサイア」全曲 | 登録1=ぴあ1 一致
✅ id=6171 南アルプス桃源交響楽団 第55回定期演奏会 | 登録1=ぴあ1 一致
✅ id=6172 みんなで奏でるアンサンブルフェスタ ～地域で育て | 登録1=ぴあ1 一致

=== 集計: OK 103 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 111/130 / 未照合 skip19(同締切の枠が複数で対を確定できない) ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
