=== reconcile_pia (today=2026-07-10) 対象138件 ===

✅ id=12 東京スカパラダイスオーケストラ | 登録1=ぴあ1 一致
✅ id=1342 斉藤壮馬 | 登録4=ぴあ4 一致
✅ id=1347 KAMEN RIDER × PROJECT R. | 登録2=ぴあ2 一致
✅ id=1354 中村滉己 リサイタル ACOUSTICS 202 | 登録1=ぴあ1 一致
✅ id=1364 LAUSBUB | 登録5=ぴあ5 一致
✅ id=1374 レ・ヴァン・フランセ | 登録4=ぴあ4 一致
✅ id=1401 いきものがかり | 登録4=ぴあ4 一致
✅ id=1481 多次元制御機構よだか | 登録1=ぴあ1 一致
⚠️ id=1637 初音ミク「マジカルミライ 2026」 | 登録3枠 / ぴあ買える3枠
    ⚠️DROP 解析不能 [発売前] when='' | ※上記リンクよりお申込み下さい ／ 初音ミク「マジカルミライ ２０２６」 ｉｎ 
    ⚠️DROP 解析不能 [発売前] when='' | ※上記リンクよりお申込み下さい ／ 初音ミク「マジカルミライ ２０２６」 ｉｎ 
    ⚠️DROP 解析不能 [発売前] when='' | ※上記リンクよりお申込み下さい ／ 初音ミク「マジカルミライ ２０２６」 ｉｎ 
✅ id=1643 BAYSIDE CLASH 2026 | 登録2=ぴあ2 一致
✅ id=1644 BONNIE PINK | 登録2=ぴあ2 一致
✅ id=1690 綾小路きみまろ爆笑スーパーライブ in 浜松 | 登録1=ぴあ1 一致
✅ id=1693 入船亭扇兆 二ツ目昇進披露落語会 | 登録2=ぴあ2 一致
✅ id=1716 アレクサンドル・カントロフ ピアノ・リサイタル  | 登録2=ぴあ2 一致
✅ id=1721 NAGASAKI JAZZ&CLASSIC FE | 登録10=ぴあ10 一致
✅ id=1722 ディズニー・オン・クラシック ～まほうの夜の音楽 | 登録28=ぴあ28 一致
✅ id=1724 トマーシュ・ネトピル指揮 プラハ交響楽団 | 登録4=ぴあ4 一致
✅ id=1729 北とぴあ国際音楽祭2026「栄光のヴェネツィア- | 登録2=ぴあ2 一致
✅ id=1730 北とぴあ国際音楽祭2026 モーツァルト作曲 オ | 登録2=ぴあ2 一致
✅ id=1748 岩谷時子メモリアルコンサート ～Forever  | 登録1=ぴあ1 一致
✅ id=1749 サッポロファクトリー エレクトーン・オンステージ | 登録1=ぴあ1 一致
✅ id=1768 Na Pookela ナーポオケラ 2026 | 登録2=ぴあ2 一致
✅ id=1772 柳家喬太郎 独演会 | 登録2=ぴあ2 一致
✅ id=1785 ファジル・サイ 《ゴルトベルク×トルコ行進曲×ブ | 登録3=ぴあ3 一致
✅ id=1787 古澤巖×ベルリン・フィルハーモニック ストリング | 登録3=ぴあ3 一致
✅ id=1792 務川慧悟ピアノリサイタル2026 | 登録3=ぴあ3 一致
✅ id=1782 JNO室内楽特別コンサート | 登録2=ぴあ2 一致
✅ id=1804 劇団papercraft 第13回公演『神のみぞ | 登録2=ぴあ2 一致
✅ id=1806 夢空間出発25年の会 | 登録2=ぴあ2 一致
✅ id=1815 三浦一馬 東京グランド・ソロイスツ 結成10周年 | 登録2=ぴあ2 一致
✅ id=1829 Bunkamura Produce×浜離宮朝日ホ | 登録2=ぴあ2 一致
✅ id=1848 日本フィル&サントリーホール にじクラ ～トーク | 登録3=ぴあ3 一致
✅ id=1857 桂宮治 独演会 当別町文化公演事業 | 登録1=ぴあ1 一致
✅ id=1858 桂八十八独演会 | 登録1=ぴあ1 一致
✅ id=1859 第十一回 二子玉川ライズ ふたこ能 | 登録1=ぴあ1 一致
✅ id=1860 第17回 音楽大学オーケストラ・フェスティバル  | 登録3=ぴあ3 一致
✅ id=1863 京都市交響楽団 | 登録1=ぴあ1 一致
✅ id=1864 札幌交響楽団 当別町演奏会 | 登録1=ぴあ1 一致
✅ id=1865 第30回英国歌曲展Plus 辻裕久テノールリサイ | 登録2=ぴあ2 一致
✅ id=1867 中島結里愛凱旋!!京都市交響楽団演奏会 | 登録1=ぴあ1 一致
✅ id=1868 錦織健（T） | 登録1=ぴあ1 一致
✅ id=1869 古澤巖「バロックの朝と午後」 | 登録1=ぴあ1 一致
✅ id=1888 五十嵐紅トリオ|ジブリ・セレクション | 登録2=ぴあ2 一致
✅ id=1900 ル・ポン国際音楽祭2026 赤穂・姫路 | 登録1=ぴあ1 一致
✅ id=1899 わん丈ストリート | 登録1=ぴあ1 一致
✅ id=1898 KBS京都開局75周年記念公演 茂山狂言・笑の収 | 登録1=ぴあ1 一致
✅ id=1980 前橋汀子 アフタヌーン・コンサートVol.23 | 登録2=ぴあ2 一致
✅ id=1987 神戸新開地・喜楽館 9月【朝席・夜席】 | 登録5=ぴあ5 一致
✅ id=1993 桂文我おやこ寄席 | 登録1=ぴあ1 一致
✅ id=2003 国立能楽堂 8月企画公演 | 登録1=ぴあ1 一致
✅ id=2004 国立能楽堂 8月企画公演 | 登録1=ぴあ1 一致
✅ id=2005 石井克典ピアノリサイタル | 登録1=ぴあ1 一致
✅ id=2069 「【パンキッシュガーデン】ネモフィラブルー」 | 登録2=ぴあ2 一致
✅ id=2109 千住落語会 神田伯山 独演会 | 登録2=ぴあ2 一致
✅ id=2144 大津町町村合併70周年記念事業「真風 涼帆 特別 | 登録1=ぴあ1 一致
✅ id=2149 KaWang | 登録2=ぴあ2 一致
✅ id=2150 ガラスの靴は落とさない | 登録1=ぴあ1 一致
✅ id=2163 JIRO OMA Presents タイムレスチ | 登録1=ぴあ1 一致
✅ id=2184 BABYMONSTER | 登録4=ぴあ4 一致
✅ id=2187 見砂和照と東京キューバンボーイズ | 登録2=ぴあ2 一致
✅ id=2202 おいしくるメロンパン | 登録1=ぴあ1 一致
✅ id=2206 FULL METAL JAPAN 2026 ～P | 登録1=ぴあ1 一致
✅ id=2210 ユナイト | 登録1=ぴあ1 一致
✅ id=2237 石見神楽関西公演in芦屋 | 登録1=ぴあ1 一致
✅ id=2238 第13回 入船亭扇辰独演会 -扇辰の噺をたっぷり | 登録1=ぴあ1 一致
✅ id=2239 ミュージカル 「ALICE ～不思議の国のアリス | 登録9=ぴあ9 一致
✅ id=2265 原田知世 | 登録5=ぴあ5 一致
✅ id=2281 野村萬斎 還暦記念 「狂言ござる乃座 72nd」 | 登録4=ぴあ4 一致

=== 集計: OK 134 / 🚨MISSING 0 / ⚠️DROP 5 / 💤STALE 3 / ❌FETCH 0 ===
→ 🚨/⚠️ は取りこぼし。該当エントリをぴあ機械パースで枠追加して修正すること。

