=== reconcile_pia (today=2026-09-02) 対象241件 ===

✅ id=6270 ASA-CHANG エマーソン北村 | 登録1=ぴあ1 一致
✅ id=6315 文学座90周年記念公演「みつ豆」 | 登録1=ぴあ1 一致
✅ id=6316 文菊25周年記念落語会『柳田格之進』他 ゲスト彦 | 登録1=ぴあ1 一致
✅ id=6318 よしもとお笑いライブin加古川2026～人気実力 | 登録1=ぴあ1 一致
✅ id=6319 よしもとお笑いライブin座間2026～秋の夜、笑 | 登録1=ぴあ1 一致
✅ id=6320 よしもとお笑いライブinひたちおおみや2026～ | 登録1=ぴあ1 一致
✅ id=6321 東京ヤクルトスワローズ対ハヤテベンチャーズ静岡  | 登録1=ぴあ1 一致
✅ id=6322 栃木SC対松本山雅FC 明治安田J3リーグ | 登録2=ぴあ2 一致
✅ id=6323 RISE202 | 登録1=ぴあ1 一致
✅ id=6324 乱丸フェスタ 45回記念大会 | 登録1=ぴあ1 一致
✅ id=6325 明治神宮外苑創建百年記念奉納試合 | 登録1=ぴあ1 一致
✅ id=6326 映画『襲名』舞台挨拶 | 登録3=ぴあ3 一致
✅ id=6327 舞台『魔法使いの約束』第1章～第3章 ディレイビ | 登録2=ぴあ2 一致
✅ id=6328 『平行と垂直』大ヒット御礼舞台挨拶 | 登録2=ぴあ2 一致
✅ id=6329 カイ・フランク展 時代を超えるフィンランド・デザ | 登録1=ぴあ1 一致
✅ id=6331 AMUSEMENT EXPO2026/AMUSE | 登録3=ぴあ3 一致
✅ id=6333 仮面ライダーマイス スペシャルショー&ブッフェ | 登録1=ぴあ1 一致
✅ id=6334 クリスマス純烈ランチ&ディナーショー | 登録1=ぴあ1 一致
✅ id=6335 須田亜香里さん「ひと抱えの幸せ てくてく歩いてく | 登録2=ぴあ2 一致
✅ id=6336 徹子の部屋 50周年展 ～愛を込めて～ | 登録1=ぴあ1 一致
✅ id=6337 ファミリー☆プラネタリウム 爆笑!ブラック星博士 | 登録1=ぴあ1 一致
✅ id=6338 Yanagase WineFesta ヤナガセ  | 登録1=ぴあ1 一致
✅ id=6339 YOON SANG HYUN TOKYO FAN | 登録1=ぴあ1 一致
💤 id=6340 I am I Presents ハーモニー・コンサート 20 | 登録2枠 / ぴあ買える0枠
    ❌FETCH ぴあが混雑ページに飛ばした（券種は読めていない）: http://sorry.pia.jp/nt2/pia/?mark= | https://t.pia.jp/pia/event/event.do?eventCd=2634564
    💤STALE 登録「一般販売（東京 R9年 1/21公演）10/3 10:00発売」(2026-10-03) がぴあの買える枠に無い
    💤STALE 登録「一般販売（兵庫 R9年 1/27公演）10/3 10:00発売」(2026-10-03) がぴあの買える枠に無い
✅ id=6341 アンサンブル天下統一 | 登録2=ぴあ2 一致
✅ id=6346 ケイト・リウ ピアノ・リサイタル | 登録1=ぴあ1 一致
✅ id=6347 札響の第9 | 登録1=ぴあ1 一致
✅ id=6348 東海林茉奈ピアノリサイタル オール・ショパン・プ | 登録1=ぴあ1 一致
✅ id=6349 新日本フィル ニューイヤー・コンサート2027  | 登録1=ぴあ1 一致
✅ id=6350 精華女子高等学校吹奏楽部 | 登録1=ぴあ1 一致
✅ id=6353 富田 泰子 ソプラノリサイタル | 登録1=ぴあ1 一致
✅ id=6354 トリフォニーホール パイプオルガン・クリスマス・ | 登録1=ぴあ1 一致
✅ id=6355 日本モーツァルト協会 第684回例会 郷古廉の深 | 登録1=ぴあ1 一致
✅ id=6356 ヴィオラ演奏集団SDA48 | 登録2=ぴあ2 一致
✅ id=6274 石川さゆりコンサート | 登録1=ぴあ1 一致
✅ id=6287 世良公則 KNOCK KNOCK 2027 wi | 登録1=ぴあ1 一致
✅ id=6288 世良公則 KNOCK KNOCK 2026 wi | 登録1=ぴあ1 一致
✅ id=6295 アロージャズオーケストラ | 登録1=ぴあ1 一致
✅ id=6303 桂文珍 独演会 JAPAN TOUR ～一期一笑 | 登録2=ぴあ2 一致
✅ id=6306 神田伯山 独演会 | 登録1=ぴあ1 一致
✅ id=6344 大阪フィルハーモニー交響楽団 枚方公演 | 登録1=ぴあ1 一致
✅ id=6345 音楽の絵本 ブラス・バトル | 登録1=ぴあ1 一致
✅ id=6351 0歳からのコンサート | 登録1=ぴあ1 一致

=== 集計: OK 77 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 5 / ❌FETCH 2 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 94/96 / 未照合 skip2(同締切の枠が複数で対を確定できない) ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
