reconcile�Ώ� 89��
=== reconcile_pia (today=2026-07-06) 対象89件 ===

🚨 id=402 KIM JUNSU | 登録0枠 / ぴあ買える1枠
✅ id=1591 REIRIE | 登録0=ぴあ0 一致
✅ id=1597 浪漫派マシュマロ | 登録0=ぴあ0 一致
✅ id=1598 WATWING | 登録0=ぴあ0 一致
🚨 id=1616 トモフとシチロとほぼギャルバン | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/5 23:59 (2026-09-05) があるが登録に無い | 一般発売 ／ トモフとシチロとほぼギャルバン
🚨 id=1569 三浦大知 | 登録0枠 / ぴあ買える2枠
    🚨MISSING ぴあに [受付中] 〜7/13 11:00 (2026-07-13) があるが登録に無い | 「三浦大知」プレリザーブ★2次受付[宮城・岩手]
    🚨MISSING ぴあに [受付中] 〜7/13 23:59 (2026-07-13) があるが登録に無い | 「三浦大知」プレリザーブ2次
✅ id=1655 Good Grief | 登録0=ぴあ0 一致
✅ id=1657 Shibuya PIT ZERO OPENING | 登録0=ぴあ0 一致
✅ id=1660 Dios | 登録0=ぴあ0 一致
✅ id=1667 FANTASTIC◇CIRCUS | 登録0=ぴあ0 一致
✅ id=1669 PLAY VOL.171 | 登録0=ぴあ0 一致
✅ id=1681 L’Arc-en-Ciel | 登録0=ぴあ0 一致
✅ id=1683 Ringwanderung | 登録0=ぴあ0 一致
🚨 id=1795 寛平GMプロデュース公演 新喜劇出前ツアー2026 京都公演 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜10/1 23:59 (2026-10-01) があるが登録に無い | 一般発売 ／ 寛平ＧＭプロデュース公演 新喜劇出前ツアー２０２６ 京都公演
🚨 id=1796 こくみん共済 coop ホール／スペース・ゼロ 提携公演 『 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/22 23:59 (2026-08-22) があるが登録に無い | 一般発売 ／ こくみん共済 ｃｏｏｐ ホール／スペース・ゼロ 提携公演 『黒の王
🚨 id=1797 三遊亭東村山二ツ目昇進祝いの会in東村山 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜12/11 23:59 (2026-12-11) があるが登録に無い | 一般発売 ／ 三遊亭東村山二ツ目昇進祝いの会ｉｎ東村山
🚨 id=1798 荒木奏美×五十嵐紅|オーボエとギター（東京公演） | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜11/18 23:59 (2026-11-18) があるが登録に無い | 一般発売 ／ 荒木奏美×五十嵐紅｜オーボエとギター（東京公演）
🚨 id=1799 五十嵐紅|ギターと静寂『秋』 | 登録0枠 / ぴあ買える3枠
    🚨MISSING ぴあに [受付中] 〜11/5 23:59 (2026-11-05) があるが登録に無い | 一般発売 ／ 五十嵐紅｜ギターと静寂『秋』（神戸公演）
    🚨MISSING ぴあに [受付中] 〜11/7 23:59 (2026-11-07) があるが登録に無い | 一般発売 ／ 五十嵐紅｜ギターと静寂『秋』（みなとみらい公演）
    🚨MISSING ぴあに [受付中] 〜11/8 23:59 (2026-11-08) があるが登録に無い | 一般発売 ／ 五十嵐紅｜ギターと静寂『秋』（水戸公演）
🚨 id=1802 五十嵐紅|ギターと静寂 特別公演『バロック』 | 登録0枠 / ぴあ買える3枠
    🚨MISSING ぴあに [受付中] 〜11/4 23:59 (2026-11-04) があるが登録に無い | 一般発売 ／ 五十嵐紅｜ギターと静寂 特別公演『バロック』（滋賀公演）
    🚨MISSING ぴあに [受付中] 〜9/30 23:59 (2026-09-30) があるが登録に無い | 一般発売 ／ 五十嵐紅｜ギターと静寂 特別公演『バロック』（所沢公演）
    🚨MISSING ぴあに [受付中] 〜11/3 23:59 (2026-11-03) があるが登録に無い | 一般発売 ／ 五十嵐紅｜ギターと静寂 特別公演『バロック』（横浜公演）
🚨 id=1811 ドラマチック!ピアノ四重奏 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜10/3 23:59 (2026-10-03) があるが登録に無い | 一般発売 ／ ドラマチック！ピアノ四重奏
🚨 id=1821 五十嵐紅|ギターと静寂 特別公演『星と祈り』 | 登録0枠 / ぴあ買える2枠
    🚨MISSING ぴあに [受付中] 〜11/4 23:59 (2026-11-04) があるが登録に無い | 一般発売 ／ 五十嵐紅｜ギターと静寂 特別公演『星と祈り』（滋賀公演）
    🚨MISSING ぴあに [受付中] 〜11/26 23:59 (2026-11-26) があるが登録に無い | 一般発売 ／ 五十嵐紅｜ギターと静寂 特別公演『星と祈り』（東京公演）
🚨 id=1823 五十嵐紅トリオ|シネマ・セレクション（仙台公演） | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜11/16 23:59 (2026-11-16) があるが登録に無い | 一般発売 ／ 五十嵐紅トリオ｜シネマ・セレクション（仙台公演）
🚨 id=1824 五十嵐紅トリオ|ジブリ 2026【A】 | 登録0枠 / ぴあ買える2枠
    🚨MISSING ぴあに [受付中] 〜11/9 23:59 (2026-11-09) があるが登録に無い | 一般発売 ／ 五十嵐紅トリオ｜ジブリ ２０２６【Ａ】（千葉公演）
    🚨MISSING ぴあに [受付中] 〜11/17 23:59 (2026-11-17) があるが登録に無い | 一般発売 ／ 五十嵐紅トリオ｜ジブリ ２０２６【Ａ】（東京公演）
🚨 id=1826 紅福デュオ|師弟の響（東京公演） | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜11/11 23:59 (2026-11-11) があるが登録に無い | 一般発売 ／ 紅福デュオ｜師弟の響（東京公演）
🚨 id=1827 西川悟平 | 登録0枠 / ぴあ買える2枠
    🚨MISSING ぴあに [受付中] 〜7/16 23:59 (2026-07-16) があるが登録に無い | プリセール ／ 西川悟平
    🚨MISSING ぴあに [発売前] 7/17 10:00発売 (2026-07-17) があるが登録に無い | 一般発売 ／ 西川悟平
🚨 id=1828 福間洸太朗ピアノリサイタル | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜11/21 23:59 (2026-11-21) があるが登録に無い | 一般発売 ／ 福間洸太朗ピアノリサイタル
🚨 id=1830 村上裕亮 ピアノリサイタル | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [発売前] 7/12 10:00発売 (2026-07-12) があるが登録に無い | 一般発売 ／ 村上裕亮 ピアノリサイタル
🚨 id=1887 第2回 入船亭扇兆ひとり会 扇兆の挑戦 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/1 23:59 (2026-08-01) があるが登録に無い | 一般発売 ／ 第２回 入船亭扇兆ひとり会 扇兆の挑戦
🚨 id=1886 カンパニーデラシネラ 「はだかの王様」 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/18 23:59 (2026-09-18) があるが登録に無い | 一般発売 ／ カンパニーデラシネラ 「はだかの王様」
🚨 id=1889 北村陽（vc） | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/23 14:00 (2026-09-23) があるが登録に無い | 一般発売 ／ 北村陽（ｖｃ）
🚨 id=1890 服部真紀子ピアノ・リサイタル | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜10/11 23:59 (2026-10-11) があるが登録に無い | 一般発売 ／ 服部真紀子ピアノ・リサイタル
🚨 id=1891 バルトルド・クイケンを迎えて「バロック・フルート協奏曲集」 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜11/6 23:59 (2026-11-06) があるが登録に無い | 一般発売 ／ バルトルド・クイケンを迎えて「バロック・フルート協奏曲集」

=== 集計: OK 54 / 🚨MISSING 44 / ⚠️DROP 1 / 💤STALE 0 / ❌FETCH 0 ===
→ 🚨/⚠️ は取りこぼし。該当エントリをぴあ機械パースで枠追加して修正すること。
