育成 前後差分  エントリ 2379 / 総枠 4156 → 4543 (+387)
枠が増えたエントリ 106 / 減った 0 / 変化なし 2273

=== 増えた（多い順）===
id=756 ゴスペラーズ  6→29 (+23)  千秋楽 2026-11-12→2026-12-26
id=736 藤田麻衣子  1→5 (+4)  千秋楽 2026-10-12→2026-11-15
id=1221 森 大翔  1→5 (+4)  千秋楽 2026-10-10→2026-10-16
id=2140 EVE OF THE LAIN  2→6 (+4)  千秋楽 2026-12-02→2026-12-02
id=2193 YONA YONA WEEKENDERS  3→7 (+4)  千秋楽 2026-11-21→2026-11-21
id=2202 おいしくるメロンパン  7→11 (+4)  千秋楽 2026-12-20→2026-12-20
id=2210 ユナイト  1→5 (+4)  千秋楽 2026-10-27→2026-11-10
id=2343 Cornelius  4→8 (+4)  千秋楽 2026-10-06→2026-10-06
id=3139 摩天楼オペラ  3→7 (+4)  千秋楽 2026-10-31→2026-10-31
id=558 Baby Boo  1→4 (+3)  千秋楽 2026-09-27→2026-12-19
id=811 shallm  1→4 (+3)  千秋楽 2026-10-08→2026-10-30
id=1630 SARD UNDERGROUND  2→5 (+3)  千秋楽 2026-08-22→2026-10-03
id=2117 moon drop  1→4 (+3)  千秋楽 2026-09-26→2026-10-02
id=2267 T.C.R.横浜銀蝿R.S.  1→4 (+3)  千秋楽 2026-09-05→2026-09-06
id=2268 Nao Yoshioka  1→4 (+3)  千秋楽 2026-10-18→2026-10-23
id=2404 Night Tempo  1→4 (+3)  千秋楽 2026-11-03→2026-11-14
id=2987 来生たかお  1→4 (+3)  千秋楽 2026-12-15→2026-12-24
id=3147 田島貴男  1→4 (+3)  千秋楽 2026-10-18→2026-10-18
id=674 椎名慶治  6→8 (+2)  千秋楽 2026-10-11→2026-10-11
id=741 堀内孝雄  1→3 (+2)  千秋楽 2026-09-18→2026-09-26
id=747 Myuk  2→4 (+2)  千秋楽 2026-09-28→2026-10-25
id=788 馬場俊英  2→4 (+2)  千秋楽 2026-09-05→2026-11-15
id=839 南佳孝  5→7 (+2)  千秋楽 2027-01-09→2027-01-09
id=844 森恵  1→3 (+2)  千秋楽 2026-10-31→2026-12-18
id=1149 いぎなり東北産  1→3 (+2)  千秋楽 2026-08-23→2026-08-29
id=1186 －真天地開闢集団－ジグザグ  1→3 (+2)  千秋楽 2026-09-23→2026-09-26
id=1196 貴水博之  3→5 (+2)  千秋楽 2026-09-26→2026-10-04
id=1201 つしまみれ  1→3 (+2)  千秋楽 2026-09-23→2026-11-07
id=1332 相川七瀬  1→3 (+2)  千秋楽 2026-10-04→2026-11-02
id=1333 アナタ・ボリビア  4→6 (+2)  千秋楽 2026-11-08→2026-11-08
id=1340 城 南海  1→3 (+2)  千秋楽 2026-09-19→2026-10-12
id=1358 MADKID  1→3 (+2)  千秋楽 2026-10-16→2026-10-16
id=1362 モノブライト  1→3 (+2)  千秋楽 2026-10-16→2026-10-24
id=1477 セカンドバッカー  1→3 (+2)  千秋楽 2026-08-29→2026-11-14
id=1553 スキマスイッチ  4→6 (+2)  千秋楽 2026-10-10→2026-12-22
id=1602 藍坊主  2→4 (+2)  千秋楽 2026-09-27→2026-09-27
id=1613 THE GOOD-BYE  1→3 (+2)  千秋楽 2026-09-04→2026-09-04
id=2201 WOLF HOWL HARMONY  1→3 (+2)  千秋楽 2026-11-06→2026-11-12
id=2254 杉山清貴  7→9 (+2)  千秋楽 2026-12-06→2026-12-06
id=2317 伊勢正三  2→4 (+2)  千秋楽 2026-11-07→2026-11-07
id=2320 claquepot  1→3 (+2)  千秋楽 2026-08-11→2026-08-25
id=2346 曾我泰久  1→3 (+2)  千秋楽 2026-11-21→2026-12-24
id=2402 野口五郎  1→3 (+2)  千秋楽 2026-11-15→2026-11-15
id=2766 小田純平  1→3 (+2)  千秋楽 2026-10-18→2026-11-23
id=2771 ラックライフ  6→8 (+2)  千秋楽 2026-11-03→2026-11-03
id=3148 Chage  1→3 (+2)  千秋楽 2026-09-22→2026-10-12
id=544 こおり健太  1→2 (+1)  千秋楽 2026-10-23→2026-12-05
id=617 因幡晃  3→4 (+1)  千秋楽 2026-09-12→2026-11-15
id=751 吉田山田  1→2 (+1)  千秋楽 2026-08-23→2026-11-06
id=787 夏川りみ  1→2 (+1)  千秋楽 2026-09-19→2026-09-27
id=1169 Ｃａｌｍｅｒａ  1→2 (+1)  千秋楽 2026-09-18→2026-09-21
id=1199 チャラン・ポ・ランタン  7→8 (+1)  千秋楽 2026-10-10→2027-01-09
id=1303 堺正章 to MAGNETS  1→2 (+1)  千秋楽 2026-11-28→2026-11-28
id=1365 竜馬四重奏  1→2 (+1)  千秋楽 2026-11-25→2026-11-26
id=1601 藍井エイル  1→2 (+1)  千秋楽 2026-12-24→2026-12-24
id=1619 826aska  1→2 (+1)  千秋楽 2026-08-23→2026-08-23
id=1631 JON SPENCER  1→2 (+1)  千秋楽 2026-08-17→2026-08-18
id=1634 中村雅俊  1→2 (+1)  千秋楽 2026-09-23→2026-09-23
id=2156 サカグチアミ  2→3 (+1)  千秋楽 2026-11-28→2026-11-28
id=2158 ザ50回転ズ  12→13 (+1)  千秋楽 2026-12-19→2026-12-19
id=2168 This is LAST  1→2 (+1)  千秋楽 2026-10-15→2027-04-11
id=2191 ゆうらん船  1→2 (+1)  千秋楽 2026-09-20→2026-10-02
id=2207 BRADIO  4→5 (+1)  千秋楽 2026-11-07→2026-11-28
id=2611 チキン ガーリック ステーキ  3→4 (+1)  千秋楽 2026-12-20→2026-12-20
id=2661 ZIGGY  1→2 (+1)  千秋楽 2026-09-21→2026-09-25
id=2768 HIPPY  1→2 (+1)  千秋楽 2026-10-25→2026-10-25
id=2769 藤巻亮太  2→3 (+1)  千秋楽 2026-10-31→2026-11-19
id=2813 NEK!  1→2 (+1)  千秋楽 2026-09-04→2026-09-23
id=2865 織田哲郎  4→5 (+1)  千秋楽 2026-12-04→2026-12-04
id=2977 小林旭  1→2 (+1)  千秋楽 2026-09-23→2026-10-08
id=3168 ANIMETAL  1→2 (+1)  千秋楽 2026-11-06→2026-11-06
id=3421 CiON  1→2 (+1)  千秋楽 2026-11-23→2026-12-25
id=3425 Lonesome_Blue  1→2 (+1)  千秋楽 2026-10-04→2026-10-04
id=3484 マカロニえんぴつ  3→4 (+1)  千秋楽 2026-12-06→2026-12-06

=== 🚨減った（あってはいけない）===
