[1/197] 40 NO_PIA_URL ⚠️非ぴあ＝要WebFetch
[110/197] 2936 convert 1枠
[111/197] 2948 convert 2枠
[112/197] 2949 convert 3枠
[113/197] 2966 convert 1枠
[114/197] 3118 convert 6枠
[115/197] 3141 convert 7枠
[116/197] 3145 買える枠ゼロ→削除候補（単独リトライ2回でも0枠）
[117/197] 3146 convert 2枠
[118/197] 3147 convert 1枠
[119/197] 3148 convert 1枠
[120/197] 3149 convert 1枠
[121/197] 3150 convert 1枠
[122/197] 3151 convert 1枠
[123/197] 3174 convert 3枠
[124/197] 3175 convert 1枠
[125/197] 3187 convert 1枠
[126/197] 3188 convert 1枠
[127/197] 3189 convert 1枠
[128/197] 3190 convert 1枠
[129/197] 3191 🔁RETRY 0枠は偽陽性→1枠を回収
[129/197] 3191 convert 1枠
[130/197] 3192 convert 1枠
[131/197] 3213 convert 1枠
[132/197] 3214 convert 1枠
[133/197] 3215 convert 1枠
[134/197] 3216 convert 1枠
[135/197] 3248 買える枠ゼロ→削除候補（単独リトライ2回でも0枠）
[136/197] 3267 convert 1枠
[137/197] 3268 convert 1枠
[138/197] 3269 convert 1枠
[139/197] 3275 convert 1枠
[140/197] 3276 convert 1枠
[141/197] 3277 convert 1枠
[142/197] 3278 convert 11枠
[143/197] 3279 convert 1枠
[144/197] 3280 convert 1枠
[145/197] 3281 convert 1枠
[146/197] 3282 convert 1枠
[147/197] 3283 convert 1枠
[148/197] 3288 convert 1枠
[149/197] 3289 convert 1枠
[150/197] 3290 convert 1枠
[151/197] 3291 convert 1枠
[152/197] 3292 convert 1枠
[153/197] 3309 convert 1枠
[154/197] 3319 convert 2枠
[155/197] 3321 convert 1枠
[156/197] 3323 convert 1枠
[157/197] 3327 convert 1枠
[158/197] 3329 convert 1枠
[159/197] 3330 convert 1枠
[160/197] 3347 convert 2枠
[161/197] 3348 🔁RETRY 0枠は偽陽性→2枠を回収
[161/197] 3348 convert 2枠
[162/197] 3349 convert 1枠
[163/197] 3350 convert 10枠
[164/197] 3360 convert 1枠
[165/197] 3361 convert 1枠
[166/197] 3362 convert 1枠
[167/197] 3363 convert 1枠
[168/197] 3364 convert 1枠
[169/197] 3365 convert 1枠
[170/197] 3400 convert 1枠
[171/197] 3401 convert 1枠
[172/197] 3402 convert 1枠
[173/197] 3403 convert 1枠
[174/197] 3406 convert 6枠
[175/197] 3410 🔁RETRY 0枠は偽陽性→2枠を回収
[175/197] 3410 convert 2枠
[176/197] 3413 convert 1枠
[177/197] 3414 convert 1枠
[178/197] 3415 convert 1枠
[179/197] 3418 convert 1枠
[180/197] 3440 convert 3枠
[181/197] 3441 convert 1枠
[182/197] 3442 convert 1枠
[183/197] 3443 🔁RETRY 0枠は偽陽性→5枠を回収
[183/197] 3443 convert 5枠
[184/197] 3444 convert 1枠
[185/197] 3445 convert 1枠
[186/197] 3446 convert 1枠
[187/197] 3447 convert 1枠
[188/197] 3449 convert 1枠
[189/197] 3450 🔁RETRY 0枠は偽陽性→1枠を回収
[189/197] 3450 convert 1枠
[190/197] 3451 convert 1枠
[191/197] 3452 convert 2枠
[192/197] 3453 convert 2枠
[193/197] 3454 convert 1枠
[194/197] 3455 convert 1枠
[195/197] 3456 convert 2枠
[196/197] 3531 convert 3枠
[197/197] 3535 convert 7枠

=== convert 185 / 削除候補 11 → tmp/heal_stale.json (適用は --apply) ===
