=== reconcile_pia (today=2026-09-10) 対象171件 ===

✅ id=7508 あつこ&タニケン | 登録1=ぴあ1 一致
✅ id=7541 ミュージカル「TARAE～運命の旋律～」 | 登録1=ぴあ1 一致
✅ id=7542 佑輔会 其之一 古典落語を怪談に!?実験落語会 | 登録1=ぴあ1 一致
✅ id=7543 柳亭小痴楽 瀧川鯉八 二人会 | 登録2=ぴあ2 一致
✅ id=7544 笑い飯・千鳥の大喜利ライブin 山形 | 登録1=ぴあ1 一致
✅ id=7545 APF AUTUMN CUP 2026 | 登録1=ぴあ1 一致
✅ id=7546 （公財）岡崎市スポーツ協会創立80周年記念 第1 | 登録1=ぴあ1 一致
✅ id=7547 ギラヴァンツ北九州対名古屋グランパス ルヴァンカ | 登録2=ぴあ2 一致
✅ id=7548 第16回 ゴッデス・オブ・スターダム ～タッグリ | 登録1=ぴあ1 一致
✅ id=7549 第16回 ゴッデス・オブ・スターダム ～タッグリ | 登録1=ぴあ1 一致
✅ id=7550 サガン鳥栖対藤枝MYFC 明治安田J2リーグ | 登録1=ぴあ1 一致
✅ id=7551 CDE Cheer Gateway／CDE Ch | 登録2=ぴあ2 一致
✅ id=7552 2026年度全日本学生柔道体重別選手権大会（男子 | 登録1=ぴあ1 一致
✅ id=7553 大樹生命 Wリーグ 2026-27 レギュラーシ | 登録1=ぴあ1 一致
✅ id=7554 大樹生命 Wリーグ 2026-27 レギュラーシ | 登録1=ぴあ1 一致
✅ id=7555 奈良クラブ対ギラヴァンツ北九州 明治安田J3リー | 登録1=ぴあ1 一致
✅ id=7556 HOOST CUP KINGS KYOTO16 | 登録1=ぴあ1 一致
✅ id=7557 映画『ファーストボイス』舞台挨拶付き有料先行上映 | 登録2=ぴあ2 一致
💤 id=7558 Tommy february6・Tommy heavenly | 登録2枠 / ぴあ買える1枠
    💤STALE 登録「一般発売（東京・愛知・大阪 10/30〜10/31公演）〜10/30 12:00」(2026-10-30) がぴあの買える枠に無い
✅ id=7559 『ナギダイアリー』 舞台挨拶 | 登録2=ぴあ2 一致
✅ id=7560 岡本彩夏 1st写真集「すきだらけ」発売記念イベ | 登録1=ぴあ1 一致
✅ id=7561 仮面ライダースーパーライブ2027 | 登録1=ぴあ1 一致
✅ id=7562 siruko Fan Meeting Tour  | 登録1=ぴあ1 一致
✅ id=7563 ジャパンレプタイルズショー2027 in 愛知  | 登録2=ぴあ2 一致
✅ id=7564 ジャパンレプタイルズショー2027 in 京都  | 登録2=ぴあ2 一致
✅ id=7565 ジャパンレプタイルズショー2027 in 熊本  | 登録2=ぴあ2 一致
✅ id=7566 ジャパンレプタイルズショー2027 in 札幌  | 登録2=ぴあ2 一致
✅ id=7567 ジャパンレプタイルズショー2027 冬レプ | 登録2=ぴあ2 一致
✅ id=7568 星屑スキャット Dinner Show 2026 | 登録1=ぴあ1 一致
✅ id=7569 ぼくたちのあそびば 初の公開収録 | 登録1=ぴあ1 一致
✅ id=7570 水谷千重子 クリスマスディナーショー2026 | 登録1=ぴあ1 一致
✅ id=7571 ★9/15～9/27★【ミャクミャク 寝そべりぬ | 登録2=ぴあ2 一致
✅ id=7572 iPS細胞研究基金チャリティコンサート | 登録1=ぴあ1 一致
✅ id=7573 神奈川フィルハーモニー管弦楽団 みなとみらいシリ | 登録2=ぴあ2 一致
✅ id=7574 クリスマスはオルガンだ!2026 | 登録1=ぴあ1 一致
✅ id=7575 庄司紗矢香（vl）／鈴木優人（cmb） | 登録1=ぴあ1 一致
✅ id=7576 第11回 オペラ歌手 紅白対抗歌合戦 ～声魂真剣 | 登録2=ぴあ2 一致
✅ id=7577 ハリウッド・フェスティバル・オーケストラ ニュー | 登録1=ぴあ1 一致
✅ id=7578 牧瀬愛結ピアノリサイタル | 登録1=ぴあ1 一致
✅ id=7579 山縣由布夏&贄田美羽 ファゴット&コントラバスリ | 登録1=ぴあ1 一致
✅ id=7580 立教大学交響楽団 第117回 定期演奏会 | 登録1=ぴあ1 一致
✅ id=7581 清春 | 登録1=ぴあ1 一致
✅ id=7593 竹島宏 | 登録1=ぴあ1 一致
✅ id=7596 BUGY CRAXONE | 登録1=ぴあ1 一致
✅ id=7599 tuki. | 登録1=ぴあ1 一致
✅ id=7601 TRAeLL | 登録2=ぴあ2 一致
✅ id=7602 BOYNEXTDOOR | 登録1=ぴあ1 一致
✅ id=7603 My Little Lover | 登録1=ぴあ1 一致
✅ id=7604 八木山合奏団デビュー50周年コンサート | 登録1=ぴあ1 一致
✅ id=7605 八木山合奏団デビュー50周年コンサートIN白石碧 | 登録1=ぴあ1 一致
✅ id=7606 秋田CARAVAN MUSIC FES 2026 | 登録1=ぴあ1 一致
✅ id=7607 クロマンタROCK-FES | 登録1=ぴあ1 一致
✅ id=7608 サーカス | 登録1=ぴあ1 一致
✅ id=7609 オカモトショウ | 登録2=ぴあ2 一致
🚨 id=7611 September JAM(ARTS／風とロック芋煮会／オハ | 登録4枠 / ぴあ買える4枠
    🚨MISSING ぴあに [受付中] 〜11/3 23:59 (2026-11-03) があるが登録に無い | 一般発売 ／ ＡＲＴＳ ｉｎ Ｓｅｐｔｅｍｂｅｒ ＪＡＭ
    💤STALE 登録「一般発売（福島 9/21〜11/3公演）〜9/20 23:59」(2026-09-20) がぴあの買える枠に無い
✅ id=7614 風とロック芋煮会in September JAM | 登録2=ぴあ2 一致
✅ id=7615 9／23（水・祝）オハラ☆ブレイク’26秋-芋煮 | 登録1=ぴあ1 一致
✅ id=7616 Saigenji Solo Live in Su | 登録1=ぴあ1 一致
✅ id=7617 元class 日浦孝則ライブツアー2026 福島 | 登録1=ぴあ1 一致
✅ id=7618 鈴木雅之 | 登録1=ぴあ1 一致
✅ id=7619 My Little Lover☆Akko Ban | 登録1=ぴあ1 一致
✅ id=7621 元class 日浦孝則ライブツアー2026 日立 | 登録1=ぴあ1 一致
✅ id=7622 rockin'star Carnival 202 | 登録2=ぴあ2 一致
✅ id=7624 棚瀬敬太15周年記念コンサート | 登録1=ぴあ1 一致
✅ id=7625 東儀秀樹／東儀典親 | 登録1=ぴあ1 一致
✅ id=7626 元class 日浦孝則ライブツアー2026 宇都 | 登録1=ぴあ1 一致
✅ id=7629 NPO法人みのり設立10周年 新沢としひこ・山野 | 登録1=ぴあ1 一致
✅ id=7630 大月みやこ／伍代夏子／香西かおり | 登録1=ぴあ1 一致
✅ id=7637 水森かおり | 登録1=ぴあ1 一致
✅ id=7638 めいちゃん | 登録1=ぴあ1 一致
✅ id=7639 渡辺貞夫カルテット2026 | 登録4=ぴあ4 一致
✅ id=7640 渡辺美里 | 登録1=ぴあ1 一致
✅ id=7643 超PMAM | 登録2=ぴあ2 一致
✅ id=7644 緑黄色社会 | 登録8=ぴあ8 一致
✅ id=7646 ANIMAX MUSIX NEXTAGE 202 | 登録1=ぴあ1 一致
✅ id=7650 Yngwie Malmsteen | 登録1=ぴあ1 一致
✅ id=7651 イーダ・エリナ東京コンサート2026 | 登録1=ぴあ1 一致
✅ id=7653 江戸Jazz 2026 | 登録1=ぴあ1 一致
✅ id=7654 FS.SESSION | 登録1=ぴあ1 一致
✅ id=7655 MFS | 登録1=ぴあ1 一致
✅ id=7656 エルスウェア紀行 | 登録1=ぴあ1 一致
✅ id=7659 沖仁セクステット | 登録1=ぴあ1 一致
✅ id=7660 OCTPATH／TAGRIGHT | 登録1=ぴあ1 一致
✅ id=7663 お囃子プロジェクト Vol.22 | 登録1=ぴあ1 一致
✅ id=7664 ”Optimo” curated by Bias | 登録1=ぴあ1 一致
✅ id=7665 思い出野郎Aチーム | 登録1=ぴあ1 一致
✅ id=7668 COMEBACK MY DAUGHTERS | 登録2=ぴあ2 一致
💤 id=7669 “KAWARU” | 登録1枠 / ぴあ買える0枠
    ❌FETCH ぴあが混雑ページに飛ばした（券種は読めていない）: http://sorry.pia.jp/nt2/pia/?mark= | https://t.pia.jp/pia/event/event.do?eventCd=2540594
    💤STALE 登録「一般発売（東京 11/11公演）〜11/10 23:59」(2026-11-10) がぴあの買える枠に無い
💤 id=7671 GANMI | 登録1枠 / ぴあ買える0枠
    ❌FETCH ぴあが混雑ページに飛ばした（券種は読めていない）: http://sorry.pia.jp/nt2/pia/?mark= | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670718
    💤STALE 登録「一般発売（東京 11/11公演）〜11/5 23:59」(2026-11-05) がぴあの買える枠に無い
✅ id=7672 Garden Music Concert vol | 登録1=ぴあ1 一致
✅ id=7674 CAT POWER | 登録2=ぴあ2 一致
✅ id=7675 9bic | 登録3=ぴあ3 一致
✅ id=7676 熊木杏里 | 登録1=ぴあ1 一致
✅ id=7677 クミコスペシャルコンサート2026 ～シャンソン | 登録1=ぴあ1 一致
✅ id=7678 Cloud Nine Fes 2026 『滴音録 | 登録1=ぴあ1 一致
✅ id=7680 黒木渚 | 登録4=ぴあ4 一致
✅ id=7681 GOOD KID | 登録1=ぴあ1 一致
✅ id=7682 中西圭三 | 登録1=ぴあ1 一致
✅ id=7683 コロムビア歌謡ライブ ～花のステージ～ 〈第12 | 登録1=ぴあ1 一致
✅ id=7684 ゴホウビ | 登録1=ぴあ1 一致
✅ id=7685 Psycho le Cemu | 登録4=ぴあ4 一致
🚨 id=7686 西城秀樹「Hideki Saijo 55th Anniver | 登録1枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/21 14:00 (2026-09-21) があるが登録に無い | 一般発売 ／ 西城秀樹「Ｈｉｄｅｋｉ Ｓａｉｊｏ ５５ｔｈ Ａｎｎｉｖｅｒｓａｒ
    💤STALE 登録「一般発売（東京・大阪 9/15〜9/21公演）〜9/20 23:59」(2026-09-20) がぴあの買える枠に無い
✅ id=7688 桜木心菜 | 登録1=ぴあ1 一致
✅ id=7689 サグラダ・ファミリア シンフォニックコンサート | 登録2=ぴあ2 一致
✅ id=7690 sadd | 登録1=ぴあ1 一致
✅ id=7692 SunSet Swish | 登録1=ぴあ1 一致
✅ id=7693 THE DAMNED | 登録1=ぴあ1 一致
✅ id=7694 THE DO DO DO’S | 登録1=ぴあ1 一致
✅ id=7695 the neverminds | 登録1=ぴあ1 一致
✅ id=7696 REYTONS | 登録1=ぴあ1 一致
✅ id=7697 塩谷哲(p)/沖仁(g) | 登録2=ぴあ2 一致
✅ id=7698 シクラメン | 登録1=ぴあ1 一致
✅ id=7699 Shimokitazawa SOUND CRUI | 登録1=ぴあ1 一致
✅ id=7700 終活クラブ | 登録1=ぴあ1 一致
✅ id=7702 ～昭和歌謡を愛する者たちの歌マネの競演～ ぞっこ | 登録1=ぴあ1 一致
✅ id=7703 SHINJUKU LOFT 50th ANNIV | 登録1=ぴあ1 一致
✅ id=7705 J-POP CLASSIC CLUB TOKYO | 登録1=ぴあ1 一致
✅ id=7706 藤井風 | 登録0=ぴあ0 一致 ／ ぴあ外1枠は対象外

=== 集計: OK 145 / 🚨MISSING 2 / ⚠️DROP 0 / 💤STALE 5 / ❌FETCH 2 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 181/202 / 未照合 skip21(同締切の枠が複数で対を確定できない) ===
=== ぴあ外の売り場を明示した枠 1件は対象外（このゲートでは見ていない＝別途要確認） ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
→ 🚨/⚠️ は取りこぼし。該当エントリをぴあ機械パースで枠追加して修正すること。
