=== reconcile_pia (today=2026-06-29) 対象66件 ===

⚠️ id=115 FRUITS ZIPPER | 登録0枠 / ぴあ買える0枠
    🚨MISSING ぴあに [受付中] 〜7/21 23:59 (2026-07-21) があるが登録に無い | 一般発売 ／ Ｓｈｏ－ｔａ ｗｉｔｈ Ｔｅｎｐａｃｋ ｒｉｖｅｒｓｉｄｅ ｒｏｃ
    🚨MISSING ぴあに [受付中] 〜7/21 23:59 (2026-07-21) があるが登録に無い | 一般発売 ／ Ｓｈｏ－ｔａ ｗｉｔｈ Ｔｅｎｐａｃｋ ｒｉｖｅｒｓｉｄｅ ｒｏｃ
    🚨MISSING ぴあに [受付中] 〜7/23 23:59 (2026-07-23) があるが登録に無い | 一般発売 ／ Ｓｈｏ－ｔａ ｗｉｔｈ Ｔｅｎｐａｃｋ ｒｉｖｅｒｓｉｄｅ ｒｏｃ
🚨 id=820 蝶花楼桃花 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜11/5 23:59 (2026-11-05) があるが登録に無い | 一般発売 ／ 蝶花楼桃花
🚨 id=835 THE MICRO HEAD 4N'S | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/23 23:59 (2026-08-23) があるが登録に無い | 一般発売 ／ ＴＨＥ ＭＩＣＲＯ ＨＥＡＤ ４Ｎ’Ｓ
🚨 id=848 山根航海 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜7/21 23:59 (2026-07-21) があるが登録に無い | 一般発売 ／ 山根航海
✅ id=918 GANG PARADE | 登録0=ぴあ0 一致
🚨 id=931 Performing Arts Festival | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/24 23:59 (2026-09-24) があるが登録に無い | 一般発売 ／ Ｐｅｒｆｏｒｍｉｎｇ Ａｒｔｓ Ｆｅｓｔｉｖａｌ ｖｏｌ．１
🚨 id=1037 おどる絵本『みえるとか みえないとか』 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/7 23:59 (2026-08-07) があるが登録に無い | 一般発売 ／ おどる絵本『みえるとか みえないとか』
🚨 id=1038 よしもとお笑いライブｉｎ所沢 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/27 23:59 (2026-08-27) があるが登録に無い | 一般発売 ／ よしもとお笑いライブｉｎ所沢
🚨 id=1039 ザ☆笑撃！！スペシャルものまねライブ２０２６ | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜10/27 23:59 (2026-10-27) があるが登録に無い | 一般発売 ／ ザ☆笑撃！！スペシャルものまねライブ２０２６
🚨 id=1040 三谷文楽『人形ぎらい』 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/5 23:59 (2026-08-05) があるが登録に無い | 一般発売 ／ 三谷文楽『人形ぎらい』
🚨 id=1041 新潟漫才選集 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/18 23:59 (2026-08-18) があるが登録に無い | 一般発売 ／ 新潟漫才選集
🚨 id=1042 次代育成落語会 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/27 23:59 (2026-08-27) があるが登録に無い | 一般発売 ／ 次代育成落語会
🚨 id=1043 舞台『ペパロニ・ヴァンパイア』 | 登録0枠 / ぴあ買える2枠
    🚨MISSING ぴあに [受付中] 〜8/6 23:59 (2026-08-06) があるが登録に無い | 一般発売 ／ 舞台『ペパロニ・ヴァンパイア』
    🚨MISSING ぴあに [受付中] 〜8/20 23:59 (2026-08-20) があるが登録に無い | 一般発売 ／ 舞台『ペパロニ・ヴァンパイア』
🚨 id=1135 舞台『メイジ・ザ・キャッツアイ』 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [発売前] 6/30 10:00発売 (2026-06-30) があるが登録に無い | 舞台『メイジ・ザ・キャッツアイ』〔福岡〕※ファミリーマート先行
✅ id=1146 ＡＵＮ Ｊ クラシック・オーケストラ 大黒摩季  | 登録0=ぴあ0 一致
✅ id=1168 かりゆし５８ | 登録0=ぴあ0 一致
✅ id=1189 水平線 | 登録0=ぴあ0 一致
✅ id=1194 曽根麻央 シネマ・ジャズ－Ｌｏｖｅ Ｓｔｏｒｙ－ | 登録0=ぴあ0 一致
🚨 id=1228 ロックのほそ道2026 ～15th Anniversary  | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜7/1 11:00 (2026-07-01) があるが登録に無い | プレリザーブ
🚨 id=1249 BEAT AX -SUMMER EDITION 2026- | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜7/11 23:59 (2026-07-11) があるが登録に無い | 一般発売 ／ ＢＥＡＴ ＡＸ －ＳＵＭＭＥＲ ＥＤＩＴＩＯＮ ２０２６－
✅ id=1250 PIGMONZ | 登録0=ぴあ0 一致
🚨 id=1256 アイスリボン | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/13 23:59 (2026-08-13) があるが登録に無い | 一般発売 ／ アイスリボン
🚨 id=1258 大阪プロレス | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/20 23:59 (2026-09-20) があるが登録に無い | 一般発売 ／ 大阪プロレス
🚨 id=1266 DDT | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/21 23:59 (2026-09-21) があるが登録に無い | 一般発売 ／ ＤＤＴ
🚨 id=1271 hotシュシュ | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/14 23:59 (2026-08-14) があるが登録に無い | 一般発売 ／ ｈｏｔシュシュ
🚨 id=1275 RIZIN.54 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/11 17:00 (2026-08-11) があるが登録に無い | 一般発売 ／ ＲＩＺＩＮ．５４
🚨 id=1279 令和八年 冬巡業 大相撲宇治場所 | 登録0枠 / ぴあ買える2枠
    🚨MISSING ぴあに [受付中] 〜12/9 23:59 (2026-12-09) があるが登録に無い | 【座席券】一般発売 ／ 令和八年 冬巡業 大相撲宇治場所
    🚨MISSING ぴあに [受付中] 〜12/9 23:59 (2026-12-09) があるが登録に無い | 【弁当・土産券】一般発売 ／ 令和八年 冬巡業 大相撲宇治場所
✅ id=1286 伊勢正三 | 登録0=ぴあ0 一致
✅ id=1393 逢田梨香子 | 登録0=ぴあ0 一致
✅ id=1396 ASOBISYSTEM 19th Anniver | 登録0=ぴあ0 一致
✅ id=1399 amanojac | 登録0=ぴあ0 一致
✅ id=1403 内田真礼 | 登録0=ぴあ0 一致
✅ id=1406 遠藤正明 | 登録0=ぴあ0 一致
✅ id=1408 音田雅則 | 登録0=ぴあ0 一致
✅ id=1415 カルメン・マキ／竹田和夫 | 登録0=ぴあ0 一致
✅ id=1421 kurage | 登録0=ぴあ0 一致
✅ id=1422 kurage&Cloque. pre “Dive | 登録0=ぴあ0 一致
✅ id=1424 CRYAMY | 登録0=ぴあ0 一致
🚨 id=1425 黒崎雅文 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [発売前] 7/18 11:00発売 (2026-07-18) があるが登録に無い | 黒崎雅文★2次受付〔東京〕
✅ id=1434 THE SUPER FRUIT | 登録0=ぴあ0 一致
✅ id=1437 cinema staff | 登録0=ぴあ0 一致
✅ id=1439 シャインポスト BRiGHT STARS FES | 登録0=ぴあ0 一致
✅ id=1442 SWEET STEADY 塩川莉世 BIRTHD | 登録0=ぴあ0 一致
✅ id=1461 沢田研二 | 登録0=ぴあ0 一致
✅ id=1469 JAURIM | 登録0=ぴあ0 一致
✅ id=1471 須田景凪 | 登録0=ぴあ0 一致
✅ id=1476 セカンドバッカー | 登録0=ぴあ0 一致
✅ id=1498 ツチヤカレン | 登録0=ぴあ0 一致
✅ id=1499 Two-man Live 田中有紀 歌姫修行 ～ | 登録0=ぴあ0 一致
✅ id=1505 Dios | 登録0=ぴあ0 一致
✅ id=1510 TOC | 登録0=ぴあ0 一致
✅ id=1512 TRUST RECORDS presents.T | 登録0=ぴあ0 一致
✅ id=1513 TRUST RECORDS presents R | 登録0=ぴあ0 一致
✅ id=1515 TRINITY LIVE | 登録0=ぴあ0 一致
✅ id=1536 billboard classics「斉藤由貴  | 登録0=ぴあ0 一致
✅ id=1538 BEEEEM FES Vol.6 | 登録0=ぴあ0 一致
✅ id=1540 fhana | 登録0=ぴあ0 一致

=== 集計: OK 38 / 🚨MISSING 41 / ⚠️DROP 1 / 💤STALE 0 / ❌FETCH 0 ===
→ 🚨/⚠️ は取りこぼし。該当エントリをぴあ機械パースで枠追加して修正すること。
