=== 発売前スイープ 新規候補 135件 (today=2026-08-26 / 発売まで4日以上を先頭) ===
  1 | 音楽 | 発売2026/9/1(あと6日) | きたまえ↑２０２６ | 2026/12/25(金) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2627772
 47 | クラシック | 発売不明(-) | Ｏｒｃｈｅｓｔｒａ Ｅｓｔ 第１４回演奏会 | 2026/11/23(月・祝) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventCd=2630676
 48 | クラシック | 発売不明(-) | The Symphony Hall Big Band | 2026/8/5(水) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669971
 49 | クラシック | 発売不明(-) | 日本モーツァルト協会 第６８３回例会 巨匠ダルベルトのエスプリ | 2026/11/25(水) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630039
 50 | クラシック | 発売不明(-) | 鰐淵理沙サロンコンサート Ｓａｌｏｎ ｄｅ Ｒｏｓｅ ｖｏｌ．１ | 2026/11/7(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2629942
 51 | 映画 | 発売2026/8/29(あと3日) | 宝塚歌劇 宙組東京宝塚劇場公演『黒蜥蜴』『Diamond IMPULSE(ダイヤモンド インパルス)』千秋楽 ライブ中継 | 2026/9/6(日) | 北海道／青森県／岩手県／宮城県／秋田県／山形県／福島県／茨城県／栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県／新潟県／富山県／石川県／福井県／山梨県／長野県／岐阜県／静岡県／愛知県／滋賀県／京都府／大阪府／兵庫県／奈良県／和歌山県／鳥取県／島根県／岡山県／広島県／山口県／香川県／愛媛県／高知県／福岡県／長崎県／熊本県／大分県／宮崎県／沖縄県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669823
 52 | イベント | 発売2026/8/29(あと3日) | アイ工務店 ｐｒｅｓｅｎｔｓ ふわふわアドベンチャーツアー ハロウィンパーティー ｉｎ 函館サーモン・まるなまアリーナ | 2026/10/31(土) ～ 2026/11/1(日) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2622795
 53 | スポーツ | 発売TODAY(あと0日) | ダンロップフェニックストーナメント ２０２６ | 2026/11/19(木) ～ 2026/11/22(日) | 宮崎県 | https://ticket.pia.jp/pia/event.do?eventCd=2625765
 54 | イベント | 発売TODAY(あと0日) | 三木大雲のポジティ部ラジオ「ポジティ部全国大会」 | 2026/9/27(日) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669998
 55 | アート | 発売2026/8/25(あと-1日) | 竹久夢二 時代を創る表現者 | 2026/10/23(金) ～ 2027/1/11(月・祝) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2622511
 56 | スポーツ | 発売2026/8/24(あと-2日) | プロレスリング・ノア | 2026/10/15(木) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2629729
 57 | スポーツ | 発売2026/8/24(あと-2日) | プロレスリング・ノア | 2026/10/18(日) | 富山県 | https://ticket.pia.jp/pia/event.do?eventCd=2628640
 58 | スポーツ | 発売2026/8/24(あと-2日) | プロレスリング・ノア | 2026/10/25(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2628347
 59 | クラシック | 発売2026/8/23(あと-3日) | 奇跡のチェロ・アンサンブル | 2026/12/27(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2628865
 60 | 音楽 | 発売2026/8/22(あと-4日) | 白鳥英美子 | 2026/10/3(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670103
 61 | クラシック | 発売2026/8/20(あと-6日) | ０歳からのコンサート～うたって！あそんで！はじめての音楽会！～ | 2026/11/7(土) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventCd=2628113
 62 | クラシック | 発売2026/8/20(あと-6日) | フェリス・フラウエンコーアが歌う珠玉の名曲 | 2026/11/7(土) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventCd=2628114
 63 | 演劇 | 発売2026/8/18(あと-8日) | 中田カウス漫才のＤＥＮＤＯ 全国ツアーin川越町 | 2026/10/3(土) | 三重県 | https://ticket.pia.jp/pia/event.do?eventCd=2621795
 64 | 映画 | 発売2026/8/18(あと-8日) | 映画「国宝」 特別上映ｉｎ御園座 | 2026/9/22(火・祝) ・ 2026/9/23(水・祝) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2626145
 65 | 映画 | 発売2026/8/18(あと-8日) | 『スクライド』２５周年記念上映会 | 2026/8/22(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2629626
 66 | イベント | 発売2026/8/18(あと-8日) | 新浜レオン ディナーショー | 2026/10/18(日) | 千葉県 | https://ticket.pia.jp/pia/event.do?eventCd=2630402
 67 | 演劇 | 発売2026/8/17(あと-9日) | ファンクキッド３５周年コンサート | 2026/9/21(月・祝) ・ 2026/9/22(火・祝) ・ 2026/9/23(水・祝) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2629585
 68 | スポーツ | 発売2026/8/16(あと-10日) | ＤＥＥＰ ＨＡＭＡＭＡＴＳＵ ＩＭＰＡＣＴ ２０２６ ２ｎｄ ＲＯＵＮＤ | 2026/10/12(月・祝) | 静岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2630213
 69 | アート | 発売2026/8/16(あと-10日) | 所蔵企画展 画家とモデル | 2026/10/6(火) ～ 2026/12/20(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2618924
 70 | クラシック | 発売2026/8/16(あと-10日) | 宮本笑里（ｖｌ） | 2026/12/20(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2628862
 71 | 演劇 | 発売2026/8/15(あと-11日) | さやかミニ落語会 ２０２６年度全６回シリーズ （第４回～第６回分）／＜セット券＞ | 2026/10/3(土) ～ 2027/2/27(土) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2623659
 72 | 演劇 | 発売2026/8/15(あと-11日) | さやかミニ落語会 ２０２６年度 第４回～第６回 各公演券 | 2026/10/3(土) ・ 2026/12/26(土) ・ 2027/2/27(土) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2623657
 73 | 演劇 | 発売2026/8/15(あと-11日) | 立川寸志 真打昇進披露 さがみはら落語会 | 2026/11/16(月) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventCd=2627090
 74 | 映画 | 発売2026/8/15(あと-11日) | 『シャドウワーク』完成披露上映会 | 2026/8/20(木) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630293
 75 | 映画 | 発売2026/8/15(あと-11日) | 宝塚歌劇 雪組宝塚大劇場公演『ポーの一族』千秋楽 ライブ中継 | 2026/8/23(日) | 北海道／岩手県／宮城県／秋田県／山形県／福島県／茨城県／栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県／新潟県／富山県／石川県／福井県／山梨県／長野県／岐阜県／静岡県／愛知県／三重県／滋賀県／京都府／大阪府／兵庫県／奈良県／島根県／岡山県／広島県／徳島県／香川県／愛媛県／高知県／福岡県／佐賀県／長崎県／熊本県／大分県／沖縄県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669662
 76 | 映画 | 発売2026/8/13(あと-13日) | 『あなたを殺す旅 第一章 旅のはじまり』公開記念舞台挨拶付き上映会 | 2026/8/22(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670063
 77 | クラシック | 発売2026/8/12(あと-14日) | 梯剛之×戸田弥生×藤村俊介 ピアノ・トリオの夕べ | 2026/11/18(水) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2629541
 78 | 映画 | 発売2026/8/11(あと-15日) | 「ＳＥＫＩＲＯ：ＮＯ ＤＥＦＥＡＴ」完成披露上映会 | 2026/8/14(金) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2629515
 79 | 演劇 | 発売2026/8/10(あと-16日) | バリアフリー演劇『ヘレン・ケラー』 | 2026/10/10(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2628137
 80 | イベント | 発売2026/8/10(あと-16日) | 憲法９条を守ろう ２０２６ 愛知県民のつどい | 2026/11/3(火・祝) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2629502
 81 | 音楽 | 発売2026/8/9(あと-17日) | ＢＳ１２・群馬テレビ公開収録 悦ちゃん推し歌まつり | 2026/9/17(木) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2624184
 82 | 演劇 | 発売2026/8/9(あと-17日) | 宝塚歌劇雪組公演 ミュージカル・ゴシック『ポーの一族』 | 2026/9/19(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2666575
 83 | クラシック | 発売2026/8/9(あと-17日) | イリーナ・メジューエワ（ｐ） | 2026/12/5(土) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2628831
 84 | クラシック | 発売2026/8/9(あと-17日) | 五島史誉（ｐ） | 2026/12/26(土) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2629274
 85 | クラシック | 発売2026/8/9(あと-17日) | 桜井万祐子（Ｍｓ）／城宏憲（Ｔ） | 2026/12/13(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2628856
 86 | クラシック | 発売2026/8/9(あと-17日) | 佐藤桂菜（ｖｃ） | 2026/12/6(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2629270
 87 | クラシック | 発売2026/8/9(あと-17日) | 柴田花音（ｖｃ） | 2026/12/19(土) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2628859
 88 | クラシック | 発売2026/8/9(あと-17日) | モータス・クァルテット | 2026/11/22(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2628823
 89 | クラシック | 発売2026/8/9(あと-17日) | 横山幸雄（ｐ） | 2026/12/12(土) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2628842
 90 | 音楽 | 発売2026/8/8(あと-18日) | 奥井亜紀 | 2026/11/21(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630129
 91 | 音楽 | 発売2026/8/8(あと-18日) | ラフィンノーズ | 2026/12/20(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2627627
 92 | スポーツ | 発売2026/8/8(あと-18日) | ＯＳＡＫＡビアガーデンプロレス | 2026/8/25(火) ・ 2026/8/28(金) ・ 2026/8/29(土) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2630721
 93 | スポーツ | 発売2026/8/8(あと-18日) | 2026年度 全日本ジュニア柔道体重別選手権大会 | 2026/9/12(土) ・ 2026/9/13(日) | 埼玉県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670165
 94 | スポーツ | 発売2026/8/8(あと-18日) | ニュージャパンキックボクシング | 2026/9/12(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630698
 95 | 映画 | 発売2026/8/8(あと-18日) | 映画『デス≠キル／ゲーム』 SPECIAL EVENT | 2026/9/5(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2668964
 96 | 映画 | 発売2026/8/8(あと-18日) | 「仮面ライダーゼッツ＆仮面ライダーマイス」バトンタッチイベント | 2026/8/11(火・祝) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2629255
 97 | 映画 | 発売2026/8/8(あと-18日) | 第４２５回市民の劇場 「第４８回ぎふアジア映画祭」 | 2026/9/22(火・祝) ～ 2026/11/15(日) | 岐阜県 | https://ticket.pia.jp/pia/event.do?eventCd=2624105
 98 | 映画 | 発売2026/8/8(あと-18日) | メ～テレ×サンライズワールド ロボットアニメ上映会２０２６ | 2026/10/18(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2628860
 99 | イベント | 発売2026/8/8(あと-18日) | 金沢おいも万博2026 | 2026/10/2(金) ～ 2026/10/5(月) | 石川県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669980
100 | イベント | 発売2026/8/8(あと-18日) | シルク・ドゥ・ソレイユ アース製薬 クーザ 東京公演／2月 | 2027/2/24(水) ～ 2027/2/28(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670058
101 | イベント | 発売2026/8/8(あと-18日) | シルク・ドゥ・ソレイユ アース製薬 クーザ 東京公演／3月 | 2027/3/1(月) ～ 2027/3/9(火) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670059
102 | イベント | 発売2026/8/8(あと-18日) | シルク・ドゥ・ソレイユ アース製薬 クーザ 東京公演／4月 | 2027/4/2(金) ～ 2027/4/10(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670110
103 | イベント | 発売2026/8/8(あと-18日) | ジャパンレプタイルズショー２０２６ ｉｎ 東京 ＧＹＭ－ＥＸ冬レプ | 2026/12/26(土) ～ 2026/12/27(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630338
104 | イベント | 発売2026/8/8(あと-18日) | 【福岡】ナゾトキ街歩きゲーム『福岡謎解き街歩き in 天神』 | 2026/10/1(木) ～ 2026/10/31(土) | 福岡県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2666323
105 | クラシック | 発売2026/8/8(あと-18日) | アンセットシス | 2027/2/14(日) | 鹿児島県 | https://ticket.pia.jp/pia/event.do?eventCd=2613525
106 | クラシック | 発売2026/8/8(あと-18日) | 親子のためのクラシックコンサート 音楽の絵本～ダンディズム～ | 2026/12/19(土) | 福岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2623039
107 | クラシック | 発売2026/8/8(あと-18日) | 気軽にクラシック | 2026/11/3(火・祝) | 滋賀県 | https://ticket.pia.jp/pia/event.do?eventCd=2608722
108 | クラシック | 発売2026/8/8(あと-18日) | 室内管弦楽団『辯天』 第３１回演奏会 | 2026/11/8(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2630684
109 | クラシック | 発売2026/8/8(あと-18日) | 広島ウインドオーケストラ | 2026/11/8(日) | 広島県 | https://ticket.pia.jp/pia/event.do?eventCd=2626668
110 | スポーツ | 発売2026/8/7(あと-19日) | 東レ パン パシフィック オープンテニストーナメント2026 | 2026/10/26(月) ～ 2026/11/1(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669666
111 | 映画 | 発売2026/8/7(あと-19日) | 『超かぐや姫！』ムビチケカード型前売り券 | 2026/9/18(金)～ | 全国の上映劇場 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669906
112 | アート | 発売2026/8/7(あと-19日) | わたしたちのルノワール 日本が愛した、幸せの画家 | 2026/9/22(火・祝) ～ 2026/11/15(日) | 静岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2620186
113 | アート | 発売2026/8/7(あと-19日) | わたしたちのルノワール 日本が愛した、幸せの画家 ＜一般前売ペア＞ | 2026/9/22(火・祝) ～ 2026/11/15(日) | 静岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2620181
114 | イベント | 発売2026/8/7(あと-19日) | 秋酒祭 愛知～AUTUMN SAKE FEST ２０２６～ | 2026/10/3(土) ～ 2026/10/4(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2630604
115 | イベント | 発売2026/8/7(あと-19日) | メトロ怪談×北野誠の茶屋町怪談ｉｎ緑木車両工場 | 2026/9/26(土) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2628746
116 | クラシック | 発売2026/8/7(あと-19日) | 第１２回みなと第九を歌う会演奏会 | 2026/11/1(日) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventCd=2630318
117 | 演劇 | 発売2026/8/6(あと-20日) | 第２回神戸落語まつり＠神戸新聞松方ホール 東西創作落語サミット | 2026/10/19(月) | 兵庫県 | https://ticket.pia.jp/pia/event.do?eventCd=2628285
118 | クラシック | 発売2026/8/6(あと-20日) | 日本センチュリー交響楽団 周南特別演奏会 | 2026/11/23(月・祝) | 山口県 | https://ticket.pia.jp/pia/event.do?eventCd=2626395
119 | スポーツ | 発売2026/8/5(あと-21日) | ＡＰＦ ＡＬＰＳ ＣＨＡＭＰＩＯＮＳＨＩＰＳ ２０２６ | 2026/9/5(土) | 長野県 | https://ticket.pia.jp/pia/event.do?eventCd=2630683
120 | スポーツ | 発売2026/8/5(あと-21日) | ＮＪＫＦ ＣＨＡＬＬＥＮＧＥＲ １４ | 2026/9/6(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630396
121 | スポーツ | 発売2026/8/5(あと-21日) | Ｂｉｇｂａｎｇ・統一への道 其の５８ | 2026/9/20(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630512
122 | スポーツ | 発売2026/8/5(あと-21日) | ＲＩＳＥ２０１ | 2026/8/29(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630706
123 | 映画 | 発売2026/8/5(あと-21日) | 『あの星が降る丘で、君とまた出会いたい。』公開記念舞台挨拶 | 2026/8/9(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670069
124 | イベント | 発売2026/8/5(あと-21日) | 島田秀平×三上丈晴 ｗｉｔｈ 角由紀子 オカルトトークｉｎ岸和田 | 2026/10/3(土) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2627319
125 | クラシック | 発売2026/8/5(あと-21日) | アンネ＝ゾフィー・ムター(ヴァイオリン) Plays J.ウィリアムズ 50th on Stage With オーケストラ | 2027/1/11(月・祝) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670140
126 | クラシック | 発売2026/8/5(あと-21日) | ピョートル・アレクセーヴィチ ピアノリサイタル | 2026/12/3(木) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670150
127 | 音楽 | 発売2026/8/4(あと-22日) | Ｔｒｉｂｕｔｅ ｆｏｒ ＯＳＣＡＲ ＰＥＡＴＥＲＳＯＮ “Ｗｅ Ｇｅｔ Ｒｅｑｕｅｓｔｓ ｒｅｖｉｓｉｔｅｄ”ｐｒｅｓｅｎｔｅｄ ｂｙ 海野雅威 | 2026/10/16(金) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2628841
128 | 演劇 | 発売2026/8/4(あと-22日) | 生寿の真っ向勝負 ～桂佐ん吉×笑福亭生寿 二人会～ | 2026/11/10(火) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2629360
129 | 演劇 | 発売2026/8/4(あと-22日) | 第１４回 春風亭昇也独演会 －昇也の挑戦！－ | 2026/12/9(水) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630533
130 | 演劇 | 発売2026/8/4(あと-22日) | 蓮見水族館ライブvol.4 割れろ！ビンネタライブ | 2026/8/18(火) ～ 2026/9/1(火) | ＰＩＡ ＬＩＶＥ ＳＴＲＥＡＭ | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670075
