=== reconcile_pia (today=2026-09-14) 対象543件 ===

✅ id=7558 Tommy february6・Tommy he | 登録2=ぴあ2 一致
✅ id=8504 あっちこっちカンパニ～ | 登録2=ぴあ2 一致
✅ id=8506 あやかしのこえ-雪解- | 登録1=ぴあ1 一致
✅ id=8508 アリス・リポル／Cia.REC 「Adorno  | 登録1=ぴあ1 一致
✅ id=8509 AARON CHEN | 登録1=ぴあ1 一致
✅ id=8510 いきいき爆笑寄席 | 登録1=ぴあ1 一致
✅ id=8511 石原菜々子、金子仁司／kondaba 「コンダバ | 登録1=ぴあ1 一致
✅ id=8512 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スー | 登録1=ぴあ1 一致
✅ id=8513 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スー | 登録1=ぴあ1 一致
⚠️ id=8514 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スーパー講座 横 | 登録0枠 / ぴあ買える0枠
    ⚠️DROP 解析不能 [発売前] when='' | 一般発売 ／ 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スーパー講座 横須賀
✅ id=8516 市原佐都子／Q 『キティ』 | 登録1=ぴあ1 一致
✅ id=8517 市原佐都子／Q『キティ』 | 登録1=ぴあ1 一致
✅ id=8519 イーゴリ・モイセーエフ生誕120周年記念モイセー | 登録1=ぴあ1 一致
✅ id=8520 魚沼産夢ひかりミュージカル「ハーメルンの笛吹き」 | 登録1=ぴあ1 一致
✅ id=8522 梅沢富美男劇団 | 登録1=ぴあ1 一致
✅ id=8524 雲古塾《雲助の古典を識る塾》手習6「名人長二」雲 | 登録1=ぴあ1 一致
✅ id=8525 永平寺東京別院 長谷寺勧進薪能 | 登録1=ぴあ1 一致
✅ id=8526 Echoes Now | 登録1=ぴあ1 一致
✅ id=8528 愛媛新聞創刊150周年記念 吉本新喜劇&バラエテ | 登録1=ぴあ1 一致
✅ id=8529 演芸平家物語 | 登録1=ぴあ1 一致
✅ id=8530 エンターテインメントフェスティバル2026 in | 登録1=ぴあ1 一致
✅ id=8531 黄金の噺家計画 Vol.1 | 登録1=ぴあ1 一致
✅ id=8533 大島能楽堂定期公演2026 望月 | 登録1=ぴあ1 一致
✅ id=8534 大槻能楽堂自主公演能 能の魅力を探るシリーズ | 登録1=ぴあ1 一致
✅ id=8536 おかげ横丁 第414回 9月みそか寄席 | 登録1=ぴあ1 一致
✅ id=8537 おかやま日本舞踊公演～舞踊と響の祭典～ | 登録1=ぴあ1 一致
✅ id=8538 オジサンズ8全国ツアー～今年もあなたの街に逢いに | 登録1=ぴあ1 一致
✅ id=8541 『海底骨歌』 | 登録1=ぴあ1 一致
✅ id=8543 Casual Meets Shakespeare | 登録1=ぴあ1 一致
✅ id=8544 カズキのタネ | 登録2=ぴあ2 一致
✅ id=8546 桂三四郎独演会 一も二もなく三四郎独演 Vol. | 登録1=ぴあ1 一致
✅ id=8547 桂三実完全創作落語会第三回 | 登録1=ぴあ1 一致
✅ id=8548 桂伸治桂伸べえ親子会 | 登録1=ぴあ1 一致
✅ id=8553 桂文珍 独演会 | 登録1=ぴあ1 一致
✅ id=8554 桂文珍 独演会 | 登録1=ぴあ1 一致
✅ id=8555 桂まん我ひとり会・福井 | 登録1=ぴあ1 一致
✅ id=8562 神田伊織10周年4DAYS『難波戦記1』『朝顔日 | 登録1=ぴあ1 一致
✅ id=8563 神田伊織10周年4DAYS『難波戦記3』『朝顔日 | 登録1=ぴあ1 一致
✅ id=8564 神田伊織10周年4DAYS『難波戦記2』『朝顔日 | 登録1=ぴあ1 一致
✅ id=8565 神田伊織10周年4DAYS『難波戦記4』『朝顔日 | 登録1=ぴあ1 一致
✅ id=8567 神田松麻呂独演会in札幌 | 登録1=ぴあ1 一致
✅ id=8568 神田松麻呂 日本縦断講談会 ～赤穂義士伝編～ | 登録1=ぴあ1 一致
✅ id=8570 寛平GMプロデュース公演 新喜劇出前ツアー202 | 登録1=ぴあ1 一致
✅ id=8572 寛平GMプロデュース公演 新喜劇出前ツアー202 | 登録1=ぴあ1 一致
✅ id=8573 ガクテンソク単独ライブツアー2026「九分九厘」 | 登録1=ぴあ1 一致
✅ id=8574 菊満開寄席 錦秋大江戸落語会 江戸落語特選シリー | 登録1=ぴあ1 一致
✅ id=8575 キム・カンヨン、イ・ミンジン、パク・ミンヒ | 登録1=ぴあ1 一致
✅ id=8576 共演神楽の舞 | 登録1=ぴあ1 一致
✅ id=8578 京都文博 噺の会 Vol.33 笑福亭松喬 独演 | 登録1=ぴあ1 一致
✅ id=8579 禁断の笑福亭べ瓶玉川太福二人会 | 登録1=ぴあ1 一致
✅ id=8582 銀シャリ単独ライブ2026「ベシャリの帝王 萬才 | 登録1=ぴあ1 一致
✅ id=8583 熊川哲也 K-BALLET TOKYO Autu | 登録1=ぴあ1 一致
✅ id=8586 劇団壱劇屋本公演 | 登録1=ぴあ1 一致
✅ id=8588 劇団四季ファミリーミュージカル「王様の耳はロバの | 登録1=ぴあ1 一致
✅ id=8590 劇団四季「マンマ・ミーア!」／広島 | 登録4=ぴあ4 一致
✅ id=8591 劇団四季ミュージカル『ノートルダムの鐘』／大阪 | 登録7=ぴあ7 一致
✅ id=8592 劇団四季『ライオンキング』／東京 | 登録8=ぴあ8 一致
✅ id=8596 劇団たんぽぽ創立80周年記念公演『ルドルフとイッ | 登録1=ぴあ1 一致
✅ id=8597 小泉八雲記念館寄席「松江っ子が語る八雲」 | 登録1=ぴあ1 一致
✅ id=8598 小泉八雲 朗読のしらべ「思ひ出の記 セツが語った | 登録1=ぴあ1 一致
✅ id=8599 公開ケイコ!2026～演出:山崎彬編～ | 登録1=ぴあ1 一致
✅ id=8603 古今亭雛菊柳家小ふねふたり会「ひなぎくこふね」【 | 登録1=ぴあ1 一致
✅ id=8605 古今亭佑輔古今亭雛菊ふたり会「ゆうびな」第6回 | 登録1=ぴあ1 一致
✅ id=8608 コメディ朗読劇CONTELLING「だから秘密だ | 登録1=ぴあ1 一致
✅ id=8611 コンカリーニョ20周年記念提携企画 昭和レディの | 登録1=ぴあ1 一致
✅ id=8612 Golpe2026 | 登録1=ぴあ1 一致
✅ id=8613 最強!ものまねフェスin宇都宮 | 登録1=ぴあ1 一致
✅ id=8614 最強!ものまねフェスin香川 | 登録1=ぴあ1 一致
✅ id=8615 最強!ものまねフェスin倉敷 | 登録1=ぴあ1 一致
✅ id=8616 最強!ものまねフェスin名古屋 | 登録1=ぴあ1 一致
✅ id=8617 最強!ものまねフェスin福島 | 登録1=ぴあ1 一致
✅ id=8618 最強!ものまねフェスin和歌山 | 登録1=ぴあ1 一致
✅ id=8619 佐久間一行LIVE TOUR2026ー2027「 | 登録1=ぴあ1 一致
✅ id=8620 札幌劇場祭TGR2026 演劇企画団体 瓶詰企画 | 登録1=ぴあ1 一致
✅ id=8621 札幌劇場祭TGR2026 ocomenoco | 登録1=ぴあ1 一致
✅ id=8622 札幌劇場祭TGR2026 劇団怪獣無法地帯 | 登録1=ぴあ1 一致
✅ id=8623 札幌劇場祭TGR2026 劇団新劇場 | 登録1=ぴあ1 一致
✅ id=8624 札幌劇場祭TGR2026 劇団内臓天国 | 登録1=ぴあ1 一致
✅ id=8625 札幌劇場祭TGR2026 劇団fireworks | 登録1=ぴあ1 一致
✅ id=8626 札幌劇場祭TGR2026 劇団夕結び | 登録1=ぴあ1 一致
✅ id=8627 札幌劇場祭TGR2026 コレット曰く | 登録1=ぴあ1 一致
✅ id=8628 札幌劇場祭TGR2026 さっぽろ学生演劇祭20 | 登録1=ぴあ1 一致
✅ id=8629 札幌劇場祭TGR2026 座・れら／札幌ろうあ劇 | 登録1=ぴあ1 一致
✅ id=8630 札幌劇場祭TGR2026 弦巻楽団 | 登録1=ぴあ1 一致
✅ id=8631 札幌劇場祭TGR2026 トランク機械シアター | 登録1=ぴあ1 一致
✅ id=8632 札幌劇場祭TGR2026 長谷川恒希のひとり芝居 | 登録1=ぴあ1 一致
✅ id=8633 札幌劇場祭TGR2026 星くずロンリネス | 登録1=ぴあ1 一致
✅ id=8634 札幌劇場祭TGR2026 北海道二期会 | 登録1=ぴあ1 一致
✅ id=8635 札幌劇場祭TGR2026 北海道二期会 | 登録1=ぴあ1 一致
✅ id=8636 札幌劇場祭TGR2026 MAM | 登録1=ぴあ1 一致
✅ id=8638 山陰若手落語会vol.2 | 登録1=ぴあ1 一致
✅ id=8639 サンケイホールブリーゼ米朝一門落語会シリーズ20 | 登録1=ぴあ1 一致
✅ id=8640 三代目林家菊丸独演会2026～上方人情噺の世界～ | 登録1=ぴあ1 一致
✅ id=8642 三遊亭兼好 9月の平日昼の独演会 ゲスト玉川太福 | 登録1=ぴあ1 一致
✅ id=8643 三遊亭兼好 11月の平日昼の独演会 ゲスト・瀧川 | 登録1=ぴあ1 一致
✅ id=8644 三遊亭兼好 10月の平日昼の独演会 ゲスト入船亭 | 登録1=ぴあ1 一致
✅ id=8645 三遊亭兼好 12月の平日昼の独演会 ゲスト三遊亭 | 登録1=ぴあ1 一致
✅ id=8646 三遊亭兼好玉川太福二人会 | 登録1=ぴあ1 一致
✅ id=8647 三遊亭兼好 独演会 | 登録1=ぴあ1 一致
✅ id=8648 三遊亭兼好 独演会 ～兼好ランドにようこそIII | 登録1=ぴあ1 一致
✅ id=8649 三遊亭兼作 入門5周年の会 ゲスト兼太郎・好二郎 | 登録1=ぴあ1 一致
✅ id=8650 三遊亭好一郎・ましき寄席 これであなたも落語通! | 登録1=ぴあ1 一致
✅ id=8651 三遊亭好楽 柳家花緑 二人会 | 登録1=ぴあ1 一致
✅ id=8652 三遊亭ごはんつぶ落語会 | 登録1=ぴあ1 一致
✅ id=8653 三遊亭白鳥独演会 白鳥ジャパン Vol.25 i | 登録1=ぴあ1 一致
✅ id=8654 三遊亭白鳥 柳家三三 二人会 Vol.9 | 登録1=ぴあ1 一致
✅ id=8655 三遊亭東村山ひとり会vol.1～かちがわ若手落語 | 登録1=ぴあ1 一致
✅ id=8656 三遊亭東村山二ツ目昇進祝いの会in高円寺 | 登録1=ぴあ1 一致
✅ id=8657 三遊亭萬都・柳亭市遼の「三遊亭噺」×「柳家噺」の | 登録1=ぴあ1 一致
✅ id=8658 三遊亭わん丈独演会・落語わん丈 | 登録1=ぴあ1 一致
✅ id=8659 サンリオキャラクターズ ファミリーミュージカル  | 登録1=ぴあ1 一致
✅ id=8660 30-DELUX NEXT STAGE THEA | 登録1=ぴあ1 一致
✅ id=8663 志の春落語劇場in赤坂9月 | 登録1=ぴあ1 一致
✅ id=8664 志の春落語劇場in赤坂11月 | 登録1=ぴあ1 一致
✅ id=8665 芝浜亭 十月 落語&活弁 | 登録1=ぴあ1 一致
✅ id=8666 渋谷で毎月落語会「令和特選寄席」 | 登録1=ぴあ1 一致
✅ id=8667 第4回渋谷ひとり朗読 井桁弘恵×芥川龍之介「秋」 | 登録1=ぴあ1 一致
✅ id=8668 第5回渋谷ひとり朗読～松田るか×百田尚樹「魔法の | 登録1=ぴあ1 一致
✅ id=8669 島之内寄席 | 登録1=ぴあ1 一致
✅ id=8670 島之内寄席 | 登録1=ぴあ1 一致
✅ id=8672 祝米寿 木久扇祭り! | 登録1=ぴあ1 一致
✅ id=8677 春風亭昇輔瀧川蛙朝兄弟会 | 登録1=ぴあ1 一致
✅ id=8678 春風亭昇輔独演会たっぷり四席～満漢全席～ | 登録1=ぴあ1 一致
✅ id=8679 春風亭百栄林家きく麿二人会 | 登録1=ぴあ1 一致
✅ id=8680 春風亭百栄ほのぼの独演会 あの名作『絶句』とその | 登録1=ぴあ1 一致
✅ id=8682 笑福亭羽光笑福亭茶光兄弟会 | 登録1=ぴあ1 一致
✅ id=8683 笑福亭笑利の会「燃える笑利の熱血落語会」【3】 | 登録1=ぴあ1 一致
✅ id=8684 笑福亭たま愛媛松山独演会 | 登録1=ぴあ1 一致
✅ id=8685 笑福亭べ瓶春風亭昇也二人会～泣いたカラスがもう笑 | 登録1=ぴあ1 一致
✅ id=8687 しろ八 市遼 東村山 祝 二ツ目昇進落語会 | 登録1=ぴあ1 一致
✅ id=8688 滋慶学園COMグループ 社会貢献ミュージカル「明 | 登録1=ぴあ1 一致
✅ id=8690 10／16新作『天ノ鳥船』 10／20『ふた花』 | 登録1=ぴあ1 一致
✅ id=8691 十代目 入船亭扇橋 年末の一語一会独演会 師匠・ | 登録1=ぴあ1 一致
✅ id=8692 人力舎ANNEX Presents 人力舎お笑い | 登録1=ぴあ1 一致
✅ id=8693 スクールアイドルミュージカル | 登録6=ぴあ6 一致
✅ id=8694 隅田川馬石 9月のコツコツ的毎月連続落語会 『浮 | 登録1=ぴあ1 一致
✅ id=8695 隅田川馬石・古今亭文菊 クリスマス二人会2026 | 登録1=ぴあ1 一致
✅ id=8696 隅田川馬石10月のコツコツ的毎月連続落語会 蔵出 | 登録1=ぴあ1 一致
✅ id=8697 隅田川馬石独演会 -たっぷり馬石!- | 登録1=ぴあ1 一致
✅ id=8698 青年劇場 | 登録1=ぴあ1 一致
✅ id=8702 仙臺舞篝【SENDAI MAI KAGARI】 | 登録2=ぴあ2 一致
✅ id=8703 第10回全国バレエコンクール プリ・ド・カナザワ | 登録1=ぴあ1 一致
✅ id=8704 ソーゾーシー TOUR 2026 | 登録1=ぴあ1 一致
✅ id=8705 ゾンビフェス THE END OF SUMMER | 登録1=ぴあ1 一致
✅ id=8706 宝井琴鶴 芸道20周年企画 四季の琴鶴 冬 ゲス | 登録1=ぴあ1 一致
✅ id=8708 瀧川鯉八玉川太福二人会 | 登録1=ぴあ1 一致
✅ id=8709 瀧川鯉八独演会～冬がはじまるよ～ | 登録1=ぴあ1 一致
✅ id=8710 瀧川鯉白誕生祭～瀧川鯉白フェス～ゲスト笑福亭茶光 | 登録1=ぴあ1 一致
✅ id=8711 瀧川鯉白独演会～狂喜乱舞～ | 登録1=ぴあ1 一致
✅ id=8712 立川小春志芸歴二十周年記念落語会 | 登録7=ぴあ7 一致
✅ id=8719 立川志の太郎 春風亭昇羊ふたり会 | 登録1=ぴあ1 一致
✅ id=8720 立川志の大定例落語会 in 高槻 vol.7 | 登録1=ぴあ1 一致
✅ id=8721 立川志の大の大一番!2026 | 登録1=ぴあ1 一致
✅ id=8722 立川志の春独演会in柏 其の百四十一 | 登録1=ぴあ1 一致
✅ id=8723 立川志の春独演会in柏 其の百四十三 | 登録1=ぴあ1 一致
✅ id=8724 立川志のぽん独演会 深川で「再」 | 登録1=ぴあ1 一致
✅ id=8725 立川生九郎落語SHOW in福岡 | 登録1=ぴあ1 一致
✅ id=8726 立川生九郎落語SHOW in横浜 | 登録1=ぴあ1 一致
✅ id=8737 田辺いちか2DAY いちか／一邑／三三／きく麿／ | 登録1=ぴあ1 一致
✅ id=8738 田辺いちか5DAY いちか／一邑／兼好／文菊／銀 | 登録1=ぴあ1 一致
✅ id=8739 田辺いちか4DAY いちか／一邑／南海／菊之丞／ | 登録1=ぴあ1 一致
✅ id=8741 玉川太福春風亭昇々二人会今年お客さんに一番ウケた | 登録1=ぴあ1 一致
✅ id=8743 第1回 古今亭志ん五独演会 | 登録1=ぴあ1 一致
✅ id=8744 第9回 三遊亭兼矢 色々ひとり会 | 登録1=ぴあ1 一致
✅ id=8745 第9回 林家三平独演会 -真景重累ヶ淵 豊志賀- | 登録1=ぴあ1 一致
✅ id=8746 第56回 後楽能 | 登録1=ぴあ1 一致
✅ id=8747 第3回 古今亭文菊・立川志の春 “以心伝心”二人 | 登録1=ぴあ1 一致
✅ id=8748 第三回 南斗大講談会 | 登録1=ぴあ1 一致
✅ id=8749 第33回 古今亭菊之丞独演会in人形町 | 登録1=ぴあ1 一致
✅ id=8750 第15回 桂蝶の治独演会 | 登録1=ぴあ1 一致
✅ id=8751 第15回 鈴々舎美馬ネタ下ろしひとり会 | 登録1=ぴあ1 一致
✅ id=8752 第13回 春風亭きいち・春風亭朝枝二人会 | 登録1=ぴあ1 一致
✅ id=8753 第13回 笑福亭茶光独演会 新作と古典4席たっぷ | 登録1=ぴあ1 一致
✅ id=9472 會田瑞樹パーカッションリサイタル2026 | 登録1=ぴあ1 一致
✅ id=9473 愛知室内オーケストラ 第102回定期演奏会 | 登録1=ぴあ1 一致
✅ id=9474 愛知室内オーケストラ 第103回定期演奏会 | 登録1=ぴあ1 一致
✅ id=9475 会津サクソフォンプロジェクトvol.6 | 登録1=ぴあ1 一致
✅ id=9476 Aura | 登録1=ぴあ1 一致
✅ id=9477 青木尚佳(ヴァイオリン)&ジャノ・リスボア(ヴィ | 登録1=ぴあ1 一致
✅ id=9479 秋田・潟上国際音楽祭 酒蔵コンサート ARTWA | 登録1=ぴあ1 一致
✅ id=9480 秋田潟上国際音楽祭 千田桂大×ジーハファー×仙台 | 登録1=ぴあ1 一致
✅ id=9481 秋田・潟上国際音楽祭 フィリップ・カサール ピア | 登録1=ぴあ1 一致
✅ id=9482 秋山友貴(ピアノ) | 登録1=ぴあ1 一致
✅ id=9483 アクロス・ランチタイムコンサート vol.119 | 登録1=ぴあ1 一致
✅ id=9484 アクロス・ランチタイムコンサート vol.120 | 登録1=ぴあ1 一致
✅ id=9485 安達朋博（p） | 登録1=ぴあ1 一致
✅ id=9486 Api-Lucky 支援 チャリティーコンサート | 登録1=ぴあ1 一致
✅ id=9487 Ayako Shinozaki & Friend | 登録1=ぴあ1 一致
✅ id=9488 新井貴盛（vl） | 登録1=ぴあ1 一致
✅ id=9489 荒井桃子 | 登録1=ぴあ1 一致
✅ id=9490 荒木奏美×五十嵐紅|オーボエとギター | 登録1=ぴあ1 一致
✅ id=9491 有田正広 有田千代子デュオリサイタル～バロックへ | 登録1=ぴあ1 一致
✅ id=9492 アルテアチェンバーオーケストラVol.10 | 登録1=ぴあ1 一致
✅ id=9493 アルトクレフコンサートVol.18 小川典子ピア | 登録1=ぴあ1 一致
✅ id=9494 アルべリ弦楽四重奏団小川由希子林智之メモリアルコ | 登録1=ぴあ1 一致
✅ id=9495 アルべリ弦楽四重奏団小川由希子林智之メモリアルコ | 登録1=ぴあ1 一致
✅ id=9496 アレキサンダーホルンアンサンブルジャパン第13回 | 登録1=ぴあ1 一致
✅ id=9498 アレクサンダー・ガジェヴ カレイドスコープ | 登録1=ぴあ1 一致
✅ id=9499 アレクサンダー・ガジェヴ ピアノ・リサイタル | 登録1=ぴあ1 一致
✅ id=9501 アレクサンダー・クリッヒェル（p） | 登録1=ぴあ1 一致
✅ id=9502 アレクサンダー・クリッヒェル（p） | 登録1=ぴあ1 一致
✅ id=9504 第44回名古屋クラシックフェスティバル | 登録3=ぴあ3 一致
✅ id=9505 アレクサンドル・タロー ピアノ・リサイタル | 登録1=ぴあ1 一致
✅ id=9506 アレッサンドロ・カルボナーレ（cl） 室内楽の夕 | 登録1=ぴあ1 一致
✅ id=9507 アンサンブル・ウィーン=ベルリン | 登録1=ぴあ1 一致
✅ id=9508 アンサンブル・ウィーン=ベルリン | 登録1=ぴあ1 一致
✅ id=9509 アンドレアス・シュタイアー チェンバロで奏でるゴ | 登録1=ぴあ1 一致
✅ id=9510 アンドレアス・シュタイアー×八ヶ岳カラマツ・チェ | 登録1=ぴあ1 一致
✅ id=9511 ARK Hills Music Week 202 | 登録2=ぴあ2 一致
✅ id=9512 ARK BRASS & 松井秀太郎 スター・ウォ | 登録1=ぴあ1 一致
✅ id=9513 Art of 2026 | 登録1=ぴあ1 一致
✅ id=9514 Art of 2026 | 登録1=ぴあ1 一致
✅ id=9515 飯田商店presents 古澤巖・ヴァイオリンの | 登録1=ぴあ1 一致
✅ id=9516 五十嵐紅トリオ|シネマ・セレクション | 登録2=ぴあ2 一致
✅ id=9517 五十嵐紅トリオ|ジブリ 2026 | 登録9=ぴあ9 一致
✅ id=9518 五十嵐紅トリオ|4周年記念公演 | 登録1=ぴあ1 一致
✅ id=9519 池野博子&チャールズ・スペンサー メゾソプラノリ | 登録1=ぴあ1 一致
✅ id=9520 石井久美子ピアノリサイタル | 登録1=ぴあ1 一致
✅ id=9521 石上真由子（vl） | 登録1=ぴあ1 一致
✅ id=9522 石田菊香ピアノリサイタル～嵐の人生のバラード～ | 登録1=ぴあ1 一致
✅ id=9523 石田組 コンサートツアー2026 | 登録8=ぴあ8 一致
✅ id=9526 石田泰尚プロデュース「サロン de ストリングス | 登録1=ぴあ1 一致
✅ id=9529 磯崎陽一ヴァイオリンリサイタル～楽壇生活50周年 | 登録1=ぴあ1 一致
✅ id=9530 1時間のハロウィン・クラシックス with ウエ | 登録1=ぴあ1 一致
✅ id=9531 伊東大智 テノールリサイタル | 登録1=ぴあ1 一致
✅ id=9533 伊藤理恵シューベルト・ツィクルス第4回 | 登録1=ぴあ1 一致
✅ id=9534 ウィハン弦楽四重奏団With金澤克史 | 登録1=ぴあ1 一致
✅ id=9535 ウィハン弦楽四重奏団with中山育代（ピアノ） | 登録1=ぴあ1 一致
✅ id=9536 ウェールズ弦楽四重奏団 第2回定期演奏会 | 登録1=ぴあ1 一致
✅ id=9537 上野 de クラシック Vol.121 パブロ・ | 登録1=ぴあ1 一致
✅ id=9538 上野 de クラシック Vol.122 宮下嘉彦 | 登録1=ぴあ1 一致
✅ id=9539 上野通明 無伴奏チェロ・リサイタル | 登録1=ぴあ1 一致
✅ id=9541 第九&運命 ～ウクライナ国立歌劇場管弦楽団～ | 登録2=ぴあ2 一致
✅ id=9543 碓井貴美子ピアノリサイタル | 登録1=ぴあ1 一致
✅ id=9544 うたシリーズ ドイツ歌曲の森 vol.2 入門講 | 登録1=ぴあ1 一致
✅ id=9545 うたシリーズ ドイツ歌曲の森 vol.2 入門講 | 登録1=ぴあ1 一致
✅ id=9546 歌と活弁士で誘う 「ああ 夢の街 浅草!」 | 登録1=ぴあ1 一致
✅ id=9547 内田光子 ピアノ・リサイタル 2026 | 登録1=ぴあ1 一致
✅ id=9548 内なる泉を求めて 福田とも子ピアノ・リサイタル | 登録1=ぴあ1 一致
✅ id=9550 第33回 AJU自立の家 ウェルフェアチャリティ | 登録1=ぴあ1 一致
✅ id=9551 第60回HBC少年少女合唱団定期演奏会 | 登録1=ぴあ1 一致
✅ id=9552 Eureka Quartet ベートーヴェンツィ | 登録1=ぴあ1 一致
✅ id=9553 江草千枝・里枝ピアノリサイタル VOL.12 | 登録1=ぴあ1 一致
✅ id=9555 NHK交響楽団演奏会 | 登録1=ぴあ1 一致
✅ id=9557 N響奏者が贈る名曲コンサート Vn東條太河× P | 登録1=ぴあ1 一致
✅ id=9558 N響の精鋭メンバーと奏でる名曲コンサート | 登録1=ぴあ1 一致
✅ id=9559 N響の精鋭メンバーと奏でる名曲コンサート | 登録1=ぴあ1 一致
✅ id=9560 N響100周年&サントリーホール40周年 ファビ | 登録2=ぴあ2 一致
✅ id=9561 N響メンバーによる弦楽トリオ | 登録1=ぴあ1 一致
✅ id=9562 NPO法人新宿オペラ 歌劇「アンドレア・シェニエ | 登録1=ぴあ1 一致
✅ id=9563 エプタザールセレクトコンサート第76回 松本和将 | 登録1=ぴあ1 一致
✅ id=9564 エリザベト音楽大学 第85回定期演奏会 | 登録1=ぴあ1 一致
✅ id=9565 エリザベト音楽大学 特別演奏会 トランペット&ト | 登録1=ぴあ1 一致
✅ id=9566 El Cielo 2020情熱的挑発 | 登録1=ぴあ1 一致
✅ id=9567 Enjoy! Clarinet in Kariy | 登録1=ぴあ1 一致
✅ id=9568 及川浩治ピアノ・リサイタル 「リスト、ショパン、 | 登録1=ぴあ1 一致
✅ id=9569 及川浩治 ピアノ・リサイタル | 登録1=ぴあ1 一致
✅ id=9570 大分県立芸術文化短期大学 第62回定期演奏会 | 登録1=ぴあ1 一致
✅ id=9571 大木麻理「J.S.バッハ／オルガン作品全曲演奏シ | 登録1=ぴあ1 一致
✅ id=9572 大倉卓也×若林里紗 ピアノデュオ・リサイタル | 登録1=ぴあ1 一致
✅ id=9573 大阪コレギウム・ムジクム第134回大阪定期公演 | 登録1=ぴあ1 一致
✅ id=9574 Osaka Shion Wind Orchest | 登録1=ぴあ1 一致
💤 id=9575 Osaka Shion Wind Orchestra | 登録1枠 / ぴあ買える0枠
